instrument_dir,data_file,dataset_name,dataset_origin_name,language,form,form_type,license,contributor,citation,longitudinal,age_min,age_max
Turkish_WG,TurkishWG_CLEX_data.csv,CLEX,CLEX__Turkish_WG,Turkish,WG,WG,CC-BY,Aylin Küntay (Koç University),"Acarlar, F., Aksu-Koç, A., Küntay, A.C., Maviş, İ., Sofu, H., Topbaş, S., Turan, F. (2009). Adapting MB-CDI to Turkish: The first phase. In S. Ay, Ö. Aydın., İ. Ergenç, S. Gökmen, S. İşsever, and D. Peçenel (Eds.) Essays on Turkish linguistics: Proceedings of the 14th International Conference on Turkish Linguistics, August 6–8, 2008. Harrassowitz Verlag: Wiesbaden, Germany.",FALSE,8,16
Turkish_WS,TurkishWS_CLEX_data.csv,CLEX,CLEX__Turkish_WS,Turkish,WS,WS,CC-BY,Aylin Küntay (Koç University),"Acarlar, F., Aksu-Koç, A., Küntay, A.C., Maviş, İ., Sofu, H., Topbaş, S., Turan, F. (2009). Adapting MB-CDI to Turkish: The first phase. In S. Ay, Ö. Aydın., İ. Ergenç, S. Gökmen, S. İşsever, and D. Peçenel (Eds.) Essays on Turkish linguistics: Proceedings of the 14th International Conference on Turkish Linguistics, August 6–8, 2008. Harrassowitz Verlag: Wiesbaden, Germany.",FALSE,16,36
Hebrew_WG,HebrewWG_Shalev_data.csv,Shalev,Shalev__Hebrew_WG,Hebrew,WG,WG,CC-BY,Hila Gendler Shalev (Tel-Aviv University),"Gendler-Shalev, H., & Dromi, E. (2021). The Hebrew Web Communicative Development Inventory (MB-CDI): Lexical Development Growth Curves. Journal of Child Language, 1–17. DOI: 10.1017/S0305000921000179",FALSE,11,25
Hebrew_WS,HebrewWS_Shalev_data.csv,Shalev,Shalev__Hebrew_WS,Hebrew,WS,WS,CC-BY,Hila Gendler Shalev (Tel-Aviv University),"Gendler-Shalev, H., & Dromi, E. (2021). The Hebrew Web Communicative Development Inventory (MB-CDI): Lexical Development Growth Curves. Journal of Child Language, 1–17. DOI: 10.1017/S0305000921000179",FALSE,25,36
Cantonese_WS,CantoneseWS_Tardif_data.csv,Tardif,Tardif__Cantonese_WS,Cantonese,WS,WS,CC-BY,Twila Tardif (University of Michigan),"Tardif, T., Fletcher, P., Liang, W., & Kaciroti, N. (2009). Early vocabulary development in Mandarin (Putonghua) and Cantonese. Journal of child language, 36(05), 1115–1144.",FALSE,16,30
MandarinBeijing_WS,MandarinBeijingWS_Tardif_data.csv,Tardif,Tardif__Mandarin (Beijing)_WS,Mandarin (Beijing),WS,WS,CC-BY,Twila Tardif (University of Michigan),"Tardif, T., Fletcher, P., Liang, W., & Kaciroti, N. (2009). Early vocabulary development in Mandarin (Putonghua) and Cantonese. Journal of child language, 36(05), 1115–1144.",FALSE,16,30
BSL_WG,BSLWG_Woll_data.csv,Woll,Woll__British Sign Language_WG,British Sign Language,WG,WG,CC-BY,Bencie Woll (University College London),"Woolfe, T., Herman, R., Roy, P., & Woll, B. (2010). Early vocabulary development in deaf native signers: a British Sign Language adaptation of the communicative development inventories. Journal of Child Psychology and Psychiatry, 51(3), 322–331.",FALSE,8,36
MandarinBeijing_TC,MandarinBeijingTC_Li_data.csv,Li,Li__Mandarin (Beijing)_TC,Mandarin (Beijing),TC,WS,CC-BY,Ping Li (Pennsylvania State University),"Hao, M., Shu, H., Xing, A., & Li, P. (2008).  Early vocabulary inventory for Mandarin Chinese.  Behavior Research Methods, 40, 728–733.",FALSE,17,30
EnglishAmerican_WG,EnglishAmericanWG_Frank_xsface_data.csv,Frank,Frank_xsface_English (American)_WG,English (American),WG,WG,CC-BY,Michael C. Frank (Stanford University),,FALSE,8,18
Italian_WG,ItalianWG_Caselli_data.csv,Caselli,Caselli__Italian_WG,Italian,WG,WG,CC-BY,Christina Caselli (Institute of Cognitive Sciences and Technologies),"Caselli, M. C., Rinaldi, P., Stefanini, S., & Volterra, V. (2012). Early action and gesture 'vocabulary' and its relation with word comprehension and production. Child Development, 83(2), 526–542.",FALSE,7,24
Danish_WG,DanishWG_CLEX_data.csv,CLEX,CLEX__Danish_WG,Danish,WG,WG,CC-BY,Dorthe Bleses (University of Southern Denmark),"Bleses, D., Vach, W., Slott, M., Wehberg, S., Thomsen, P., Madsen, T. & Basbøll, H. (2008). The Danish Communicative Development Inventories: validity and main developmental trends. Journal of Child Language, 35, 619–650.",FALSE,8,20
FrenchQuebecois_WG,FrenchQuebecoisWG_CLEX_data.csv,CLEX,CLEX__French (Quebecois)_WG,French (Quebecois),WG,WG,CC-BY,Natacha Trudeau (Université de Montréal),"Boudreault, M. C., Cabirol, E. A., Poulin-Dubois, D., Sutton, A., & Trudeau, N. (2007). MacArthur Communicative Development Inventories: Validity and preliminary normative data. La Revue d’orthophonie et d’audiologie, 31(1), 27–37.",FALSE,8,16
Slovak_WG,SlovakWG_Kapalkova_data.csv,Kapalkova,Kapalkova__Slovak_WG,Slovak,WG,WG,CC-BY,Svetlana Kapalková (Comenius University),,FALSE,8,16
Slovak_WS,SlovakWS_Kapalkova_data.csv,Kapalkova,Kapalkova__Slovak_WS,Slovak,WS,WS,CC-BY,Svetlana Kapalková (Comenius University),,FALSE,17,36
FrenchQuebecois_WS,FrenchQuebecoisWS_data.csv,Trudeau,Trudeau__French (Quebecois)_WS,French (Quebecois),WS,WS,CC-BY,Natacha Trudeau (Université de Montréal),"Trudeau, N., & Sutton, A. (2011). Expressive vocabulary and early grammar of 16-to 30-month-old children acquiring Quebec French. First Language, 0142723711410828.",FALSE,16,30
