itemID,category,item,definition,choices,type,complexity_category,gloss,uni_lemma
item_95,toys,Dtoys6bubble,D Words for toys - 6 bubbles,understands; produces,word,NA,bubbles,bubbles
item_96,toys,Dtoys7doll,D Words for toys - 7 doll,understands; produces,word,NA,doll,doll
item_97,toys,Dtoys8pen,D Words for toys - 8 pen,understands; produces,word,NA,pen,pen
item_98,toys,Dtoys9teddybear,D Words for toys - 9 teddy/teddy bear,understands; produces,word,NA,teddy/teddy bear,teddybear
item_99,toys,Dtoys10toy,D Words for toys - 10 toy,understands; produces,word,NA,toy,toy (object)
item_100,food_drink,Efood1apple,E Food and drink words - 1 apple,understands; produces,word,NA,apple,apple
item_101,food_drink,Efood2banana,E Food and drink words - 2 banana,understands; produces,word,NA,banana,banana
item_102,food_drink,Efood3biscuit,E Food and drink words - 3 biscuit,understands; produces,word,NA,biscuit,biscuit
item_103,food_drink,Efood4bread,E Food and drink words - 4 bread,understands; produces,word,NA,bread,bread
item_104,food_drink,Efood5butter,E Food and drink words - 5 butter/spread/marge,understands; produces,word,NA,butter/spread/marge,butter
item_105,food_drink,Efood6cake,E Food and drink words - 6 cake,understands; produces,word,NA,cake,cake
item_106,food_drink,Efood7carrot,E Food and drink words - 7 carrots,understands; produces,word,NA,carrots,carrot
item_107,food_drink,Efood8cereal,E Food and drink words - 8 cereal,understands; produces,word,NA,cereal,cereal
item_108,food_drink,Efood9cheese,E Food and drink words - 9 cheese,understands; produces,word,NA,cheese,cheese
item_109,food_drink,Efood10chicken,E Food and drink words - 10 chicken,understands; produces,word,NA,chicken (food),chicken (food)
item_110,food_drink,Efood11chips,E Food and drink words - 11 chips,understands; produces,word,NA,chips,chips
item_111,food_drink,Efood12chocolate,E Food and drink words - 12 chocolate,understands; produces,word,NA,chocolate,chocolate
item_112,food_drink,Efood13coffee,E Food and drink words - 13 coffee,understands; produces,word,NA,coffee,coffee
item_113,food_drink,Efood14drink,E Food and drink words - 14 drink,understands; produces,word,NA,drink,drink
item_114,food_drink,Efood15egg,E Food and drink words - 15 egg,understands; produces,word,NA,egg,egg
item_115,food_drink,Efood16fish,E Food and drink words - 16 fish,understands; produces,word,NA,fish (food),fish (food)
item_116,food_drink,Efood17food,E Food and drink words - 17 food,understands; produces,word,NA,food,food
item_117,food_drink,Efood18ice,E Food and drink words - 18 ice cream,understands; produces,word,NA,ice cream,ice cream
item_118,food_drink,Efood19jam,E Food and drink words - 19 jam,understands; produces,word,NA,jam,jam
item_119,food_drink,Efood20juice,E Food and drink words - 20 juice,understands; produces,word,NA,juice,juice
item_120,food_drink,Efood21meat,E Food and drink words - 21 meat,understands; produces,word,NA,meat,meat
item_121,food_drink,Efood22milk,E Food and drink words - 22 milk,understands; produces,word,NA,milk,milk
item_122,food_drink,Efood23orange,E Food and drink words - 23 orange,understands; produces,word,NA,orange,orange
item_123,food_drink,Efood24pasta,E Food and drink words - 24 pasta,understands; produces,word,NA,pasta,pasta
item_124,food_drink,Efood25peas,E Food and drink words - 25 peas,understands; produces,word,NA,peas,peas
item_125,food_drink,Efood26pizza,E Food and drink words - 26 pizza,understands; produces,word,NA,pizza,pizza
item_126,food_drink,Efood27potato,E Food and drink words - 27 potato/spud/tattie,understands; produces,word,NA,potato/spud/tattie,potato
item_127,food_drink,Efood28sandwich,E Food and drink words - 28 sandwich/butty,understands; produces,word,NA,sandwich/butty,sandwich
item_128,food_drink,Efood29sausages,E Food and drink words - 29 sausage,understands; produces,word,NA,sausage,sausage
item_129,food_drink,Efood30teadrink,E Food and drink words - 30 tea/brew(drink),understands; produces,word,NA,tea/brew(drink),tea
item_130,food_drink,Efood31toast,E Food and drink words - 31 toast,understands; produces,word,NA,toast,toast
item_131,food_drink,Efood32water,E Food and drink words - 32 water,understands; produces,word,NA,water (beverage),water (beverage)
item_132,food_drink,Efood33yoghurt,E Food and drink words - 33 yoghurt,understands; produces,word,NA,yoghurt,yogurt
item_133,body_parts,Fbody1arm,F Words for body parts - 1 arm,understands; produces,word,NA,arm,arm
item_134,body_parts,Fbody2back,F Words for body parts - 2 back,understands; produces,word,NA,back (body part),back (body part)
item_135,body_parts,Fbody3bellytummy,F Words for body parts - 3 belly/tummy,understands; produces,word,NA,belly/tummy,belly
item_136,body_parts,Fbody4bellybutton,F Words for body parts - 4 bellybutton/tummy button,understands; produces,word,NA,bellybutton/tummy button,belly button
item_137,body_parts,Fbody5bum,F Words for body parts - 5 buttocks/bum/bottom,understands; produces,word,NA,buttocks/bum/bottom,butt
item_138,body_parts,Fbody6cheek,F Words for body parts - 6 cheek,understands; produces,word,NA,cheek,cheek
item_139,body_parts,Fbody7chin,F Words for body parts - 7 chin,understands; produces,word,NA,chin,chin
item_140,body_parts,Fbody8ear,F Words for body parts - 8 ear,understands; produces,word,NA,ear,ear
item_141,body_parts,Fbody9face,F Words for body parts - 9 face,understands; produces,word,NA,face,face
item_142,body_parts,Fbody10feet,F Words for body parts - 10 feet,understands; produces,word,NA,feet,feet
item_143,body_parts,Fbody11eye,F Words for body parts - 11 eye,understands; produces,word,NA,eye,eye
item_144,body_parts,Fbody12finger,F Words for body parts - 12 finger,understands; produces,word,NA,finger,finger
item_145,body_parts,Fbody13feet,F Words for body parts - 13 feet,understands; produces,word,NA,feet,feet
item_146,body_parts,Fbody14hair,F Words for body parts - 14 hair,understands; produces,word,NA,hair,hair
item_147,body_parts,Fbody15hand,F Words for body parts - 15 hand,understands; produces,word,NA,hand,hand
item_148,body_parts,Fbody16head,F Words for body parts - 16 head,understands; produces,word,NA,head,head
item_149,body_parts,Fbody17leg,F Words for body parts - 17 leg,understands; produces,word,NA,leg,leg
item_150,body_parts,Fbody18lips,F Words for body parts - 18 lips,understands; produces,word,NA,lips,lips
item_151,body_parts,Fbody19knee,F Words for body parts - 19 knee,understands; produces,word,NA,knee,knee
item_152,body_parts,Fbody20mouth,F Words for body parts - 20 mouth,understands; produces,word,NA,mouth,mouth
item_153,body_parts,Fbody21nose,F Words for body parts - 21 nose,understands; produces,word,NA,nose,nose
item_154,body_parts,Fbody22toe,F Words for body parts - 22 toe,understands; produces,word,NA,toe,toe
item_155,body_parts,Fbody23tongue,F Words for body parts - 23 tongue,understands; produces,word,NA,tongue,tongue
item_156,body_parts,Fbody24teethtooth,F Words for body parts - 24 tooth/teeth,understands; produces,word,NA,tooth/teeth,tooth
item_157,clothing,Gclothes1bib,G Words for clothes - 1 bib,understands; produces,word,NA,bib,bib
item_158,clothing,Gclothes2boots,G Words for clothes - 2 boots,understands; produces,word,NA,boots,boot
item_159,clothing,Gclothes3button,G Words for clothes - 3 button,understands; produces,word,NA,button,button
item_160,clothing,Gclothes4cardigan,G Words for clothes - 4 cardigan,understands; produces,word,NA,cardigan,sweater
item_161,clothing,Gclothes5coat,G Words for clothes - 5 coat,understands; produces,word,NA,coat,coat
item_162,clothing,Gclothes6dress,G Words for clothes - 6 dress,understands; produces,word,NA,dress,dress (object)
item_163,clothing,Gclothes7glasses,G Words for clothes - 7 glasses/specs,understands; produces,word,NA,glasses/specs,glasses
item_164,clothing,Gclothes8hat,G Words for clothes - 8 hat,understands; produces,word,NA,hat,hat
item_165,clothing,Gclothes9jacket,G Words for clothes - 9 jacket,understands; produces,word,NA,jacket,jacket
item_166,clothing,Gclothes10jumper,G Words for clothes - 10 jumper,understands; produces,word,NA,jumper,sweater
item_167,clothing,Gclothes11nappy,G Words for clothes - 11 nappy,understands; produces,word,NA,nappy,diaper
item_168,clothing,Gclothes12pyjamas,G Words for clothes - 12 pyjamas/Pjs/jim jams/,understands; produces,word,NA,pyjamas/Pjs/jim jams/,pajamas
item_169,clothing,Gclothes13scarf,G Words for clothes - 13 scarf,understands; produces,word,NA,scarf,scarf
item_170,clothing,Gclothes14shoes,G Words for clothes - 14 shoes,understands; produces,word,NA,shoes,shoe
item_171,clothing,Gclothes15socks,G Words for clothes - 15 sock,understands; produces,word,NA,sock,sock
item_172,clothing,Gclothes16trousers,G Words for clothes - 16 trousers/pants/britches,understands; produces,word,NA,trousers/pants/britches,pants
item_173,clothing,Gclothes17vest,G Words for clothes - 17 vest,understands; produces,word,NA,vest,vest
item_174,clothing,Gclothes18zip,G Words for clothes - 18 zip,understands; produces,word,NA,zip,zipper
item_175,furniture_rooms,Hfurniture1bath,H Furniture words - 1 bath/bathtub,understands; produces,word,NA,bath/bathtub,bathtub
item_176,furniture_rooms,Hfurniture2bathroom,H Furniture words - 2 bathroom,understands; produces,word,NA,bathroom,bathroom
item_177,furniture_rooms,Hfurniture3bed,H Furniture words - 3 bed,understands; produces,word,NA,bed,bed
item_178,furniture_rooms,Hfurniture4bedroom,H Furniture words - 4 bedroom,understands; produces,word,NA,bedroom,bedroom
item_179,furniture_rooms,Hfurniture5chair,H Furniture words - 5 chair,understands; produces,word,NA,chair,chair
item_180,furniture_rooms,Hfurniture6cooker,H Furniture words - 6 cooker,understands; produces,word,NA,cooker,cooker
item_181,furniture_rooms,Hfurniture7cot,H Furniture words - 7 cot,understands; produces,word,NA,cot,cot
item_182,furniture_rooms,Hfurniture8door,H Furniture words - 8 door,understands; produces,word,NA,door,door
item_183,furniture_rooms,Hfurniture9downstairs,H Furniture words - 9 downstairs,understands; produces,word,NA,downstairs,
item_184,furniture_rooms,Hfurniture10drawer,H Furniture words - 10 drawer,understands; produces,word,NA,drawer,drawer
item_185,furniture_rooms,Hfurniture11highchair,H Furniture words - 11 high chair,understands; produces,word,NA,high chair,high chair
item_186,furniture_rooms,Hfurniture12kitchen,H Furniture words - 12 kitchen,understands; produces,word,NA,kitchen,kitchen
item_187,furniture_rooms,Hfurniture13livingroom,H Furniture words - 13 living room,understands; produces,word,NA,living room,living room
item_188,furniture_rooms,Hfurniture14oven,H Furniture words - 14 oven,understands; produces,word,NA,oven,oven
item_189,furniture_rooms,Hfurniture15fridge,H Furniture words - 15 refrigerator/fridge,understands; produces,word,NA,refrigerator/fridge,refrigerator
item_190,furniture_rooms,Hfurniture16setteesofa,H Furniture words - 16 settee/sofa/couch,understands; produces,word,NA,settee/sofa/couch,couch
item_191,furniture_rooms,Hfurniture17sink,H Furniture words - 17 sink,understands; produces,word,NA,sink,sink
item_192,furniture_rooms,Hfurniture18stairs,H Furniture words - 18 stairs,understands; produces,word,NA,stairs,stairs
item_193,furniture_rooms,Hfurniture19table,H Furniture words - 19 table,understands; produces,word,NA,table,table
item_194,furniture_rooms,Hfurniture20TVtelevision,H Furniture words - 20 television/telly/TV,understands; produces,word,NA,television/telly/TV,TV
item_195,furniture_rooms,Hfurniture21toilet_lav_loo,H Furniture words - 21 toilet/lav/loo,understands; produces,word,NA,toilet/lav/loo,toilet
item_196,furniture_rooms,Hfurniture22upstairs,H Furniture words - 22 upstairs,understands; produces,word,NA,upstairs,
item_197,furniture_rooms,Hfurniture23window,H Furniture words - 23 window,understands; produces,word,NA,window,window
item_198,household,Ismallitems1bag,I Words for small household items - 1 bag,understands; produces,word,NA,bag,bag
item_199,household,Ismallitems2bin,I Words for small household items - 2 bin,understands; produces,word,NA,bin,bin
item_200,household,Ismallitems3bottle,I Words for small household items - 3 bottle,understands; produces,word,NA,bottle,bottle
item_201,household,Ismallitems4bowl,I Words for small household items - 4 bowl,understands; produces,word,NA,bowl,bowl
item_202,household,Ismallitems5box,I Words for small household items - 5 box,understands; produces,word,NA,box,box
item_203,household,Ismallitems6broom,I Words for small household items - 6 broom,understands; produces,word,NA,broom,broom
item_204,household,Ismallitems7brush,I Words for small household items - 7 brush,understands; produces,word,NA,brush,brush (object)
item_205,household,Ismallitems8bucket,I Words for small household items - 8 bucket,understands; produces,word,NA,bucket,bucket
item_206,household,Ismallitems9clock,I Words for small household items - 9 clock,understands; produces,word,NA,clock,clock
item_207,household,Ismallitems10comb,I Words for small household items - 10 comb,understands; produces,word,NA,comb,comb (object)
