item_id,language,form,form_type,item_kind,category,item,item_definition,english_gloss,uni_lemma
item_38,French (French),WS,WS,word,animals,01.38 crocodile,crocodile,crocodile,crocodile
item_39,French (French),WS,WS,word,animals,01.39 fourmi,fourmi,ant,ant
item_40,French (French),WS,WS,word,animals,01.40 renne,renne,reindeer,reindeer
item_41,French (French),WS,WS,word,animals,01.41 coq,coq,rooster,rooster
item_42,French (French),WS,WS,word,animals,01.42 loup,loup,wolf,wolf
item_43,French (French),WS,WS,word,animals,01.43 zèbre,zèbre,zebra,zebra
item_44,French (French),WS,WS,word,vehicles,02.44 avion,avion,airplane,airplane
item_45,French (French),WS,WS,word,vehicles,02.45 vélo,vélo,bicycle,bicycle
item_46,French (French),WS,WS,word,vehicles,02.46 bus,bus,bus,bus
item_47,French (French),WS,WS,word,vehicles,02.47 voiture,voiture,car,car
item_48,French (French),WS,WS,word,vehicles,02.48 camion de pompier,camion de pompier,firetruck,firetruck
item_49,French (French),WS,WS,word,vehicles,02.49 moto,moto,motorcycle,motorcycle
item_50,French (French),WS,WS,word,vehicles,02.50 poussette,poussette,stroller,stroller
item_51,French (French),WS,WS,word,vehicles,02.51 train,train,train,train
item_52,French (French),WS,WS,word,vehicles,02.52 camion,camion,truck,truck
item_53,French (French),WS,WS,word,vehicles,02.53 bateau,bateau,boat,boat
item_54,French (French),WS,WS,word,vehicles,02.54 hélicoptère,hélicoptère,helicopter,helicopter
item_55,French (French),WS,WS,word,vehicles,02.55 traîneau,traîneau,sled,sled
item_56,French (French),WS,WS,word,vehicles,02.56 tracteur,tracteur,tractor,tractor
item_57,French (French),WS,WS,word,vehicles,02.57 tricycle,tricycle,tricycle,tricycle
item_58,French (French),WS,WS,word,toys,03.58 balle,balle,ball,ball
item_59,French (French),WS,WS,word,toys,03.59 ballon,ballon,ball,ball
item_60,French (French),WS,WS,word,toys,03.60 cube,cube,cube,blocks
item_61,French (French),WS,WS,word,toys,03.61 livre,livre,book,book
item_62,French (French),WS,WS,word,toys,03.62 bulle,bulle,bubbles,bubbles
item_63,French (French),WS,WS,word,toys,03.63 poupée,poupée,doll,doll
item_64,French (French),WS,WS,word,toys,03.64 crayon,crayon,pen/pencil,pen/pencil
item_65,French (French),WS,WS,word,toys,03.65 stylo,stylo,pen/pencil,pen/pencil
item_66,French (French),WS,WS,word,toys,03.66 jouet,jouet,toy (object),toy (object)
item_67,French (French),WS,WS,word,toys,03.67 raquette,raquette,racket,bat (object)
item_68,French (French),WS,WS,word,toys,03.68 craie,craie,chalk,chalk
item_69,French (French),WS,WS,word,toys,03.69 jeu,jeu,game,game
item_70,French (French),WS,WS,word,toys,03.70 colle,colle,glue,glue (object)
item_71,French (French),WS,WS,word,toys,03.71 pâte à modeler,pâte à modeler,modeling clay,clay
item_72,French (French),WS,WS,word,toys,03.72 cadeau,cadeau,present,present
item_73,French (French),WS,WS,word,toys,03.73 puzzle,puzzle,puzzle,puzzle
item_74,French (French),WS,WS,word,toys,03.74 histoire,histoire,story,story
item_75,French (French),WS,WS,word,toys,03.75 feutre,feutre,felt,
item_76,French (French),WS,WS,word,food_drinks,04.76 lait,lait,milk,milk
item_77,French (French),WS,WS,word,food_drinks,04.77 céréales,céréales,cereal,cereal
item_78,French (French),WS,WS,word,food_drinks,04.78 cornflakes,cornflakes,cornflakes,cheerios
item_79,French (French),WS,WS,word,food_drinks,04.79 orange,orange,orange (fruit),orange (food)
item_80,French (French),WS,WS,word,food_drinks,04.80 fromage,fromage,cheese,cheese
item_81,French (French),WS,WS,word,food_drinks,04.81 petits pots,petits pots,peas,peas
item_82,French (French),WS,WS,word,food_drinks,04.82 poulet,poulet,chicken (food),chicken (food)
item_83,French (French),WS,WS,word,food_drinks,04.83 pizza,pizza,pizza,pizza
item_84,French (French),WS,WS,word,food_drinks,04.84 café,café,coffee,coffee
item_85,French (French),WS,WS,word,food_drinks,04.85 raisin,raisin,grapes,grapes
item_86,French (French),WS,WS,word,food_drinks,04.86 petits gâteaux,petits gâteaux,small cake,muffin
item_87,French (French),WS,WS,word,food_drinks,04.87 spaghetti,spaghetti,pasta,pasta
item_88,French (French),WS,WS,word,food_drinks,04.88 gâteau apéro,gâteau apéro,,
item_89,French (French),WS,WS,word,food_drinks,04.89 tartine,tartine,tartine,toast
item_90,French (French),WS,WS,word,food_drinks,04.90 pomme,pomme,apple,apple
item_91,French (French),WS,WS,word,food_drinks,04.91 oeuf,oeuf,egg,egg
item_92,French (French),WS,WS,word,food_drinks,04.92 banane,banane,banana,banana
item_93,French (French),WS,WS,word,food_drinks,04.93 poisson,poisson,fish (animal),fish (animal)
item_94,French (French),WS,WS,word,food_drinks,04.94 pain,pain,bread,bread
item_95,French (French),WS,WS,word,food_drinks,04.95 nourriture,nourriture,food,food
item_96,French (French),WS,WS,word,food_drinks,04.96 beurre,beurre,butter,butter
item_97,French (French),WS,WS,word,food_drinks,04.97 glace,glace,ice cream,ice cream
item_98,French (French),WS,WS,word,food_drinks,04.98 gâteau,gâteau,cake,cake
item_99,French (French),WS,WS,word,food_drinks,04.99 jus de fruit,jus de fruit,juice,juice
item_100,French (French),WS,WS,word,food_drinks,04.100 sucre,sucre,sugar,sugar
item_101,French (French),WS,WS,word,food_drinks,04.101 viande,viande,meat,meat
item_102,French (French),WS,WS,word,food_drinks,04.102 carotte,carotte,carrot,carrot
item_103,French (French),WS,WS,word,food_drinks,04.103 boisson,boisson,drink (beverage),drink (beverage)
item_104,French (French),WS,WS,word,food_drinks,04.104 eau,eau,water (not beverage),water (not beverage)
item_105,French (French),WS,WS,word,food_drinks,04.105 clémentine,clémentine,clementine,clementine
item_106,French (French),WS,WS,word,food_drinks,04.106 purée,purée,mashed potato,potato
item_107,French (French),WS,WS,word,food_drinks,04.107 petits pois,petits pois,peas,peas
item_108,French (French),WS,WS,word,food_drinks,04.108 baguette,baguette,baguette,bread
item_109,French (French),WS,WS,word,food_drinks,04.109 soupe,soupe,soup,soup
item_110,French (French),WS,WS,word,food_drinks,04.110 pâtes,pâtes,pasta,pasta
item_111,French (French),WS,WS,word,food_drinks,04.111 thon,thon,tuna,tuna
item_112,French (French),WS,WS,word,food_drinks,04.112 kiwi,kiwi,kiwi,kiwi
item_113,French (French),WS,WS,word,food_drinks,04.113 compote,compote,compote,jam
item_114,French (French),WS,WS,word,food_drinks,04.114 haricot,haricot,bean,beans
item_115,French (French),WS,WS,word,food_drinks,04.115 chocolat,chocolat,chocolate,chocolate
item_116,French (French),WS,WS,word,food_drinks,04.116 coca,coca,coke,soda
item_117,French (French),WS,WS,word,food_drinks,04.117 maïs,maïs,corn,corn
item_118,French (French),WS,WS,word,food_drinks,04.118 beignet,beignet,fritter,pastry
item_119,French (French),WS,WS,word,food_drinks,04.119 frites,frites,french fries,french fries
item_120,French (French),WS,WS,word,food_drinks,04.120 haricots verts,haricots verts,french bean,green beans
item_121,French (French),WS,WS,word,food_drinks,04.121 chewing-gum,chewing-gum,chewing-gum,gum
item_122,French (French),WS,WS,word,food_drinks,04.122 hamburger,hamburger,hamburger,hamburger
item_123,French (French),WS,WS,word,food_drinks,04.123 glaçon,glaçon,ice cube,ice
item_124,French (French),WS,WS,word,food_drinks,04.124 vitamines,vitamines,vitamines,vitamin
item_125,French (French),WS,WS,word,food_drinks,04.125 bonbons,bonbons,candy,candy
item_126,French (French),WS,WS,word,food_drinks,04.126 confiture,confiture,jam,jam
item_127,French (French),WS,WS,word,food_drinks,04.127 yaourt,yaourt,yogurt,yogurt
item_128,French (French),WS,WS,word,food_drinks,04.128 sucette,sucette,lollipop,lollipop
item_129,French (French),WS,WS,word,food_drinks,04.129 melon,melon,melon,melon
item_130,French (French),WS,WS,word,food_drinks,04.130 madeleine,madeleine,madeleine,muffin
item_131,French (French),WS,WS,word,food_drinks,04.131 noisette,noisette,hazelnut,nut
item_132,French (French),WS,WS,word,food_drinks,04.132 crêpe,crêpe,crepe,pancake
item_133,French (French),WS,WS,word,food_drinks,04.133 nutella,nutella,nutella,nutella
item_134,French (French),WS,WS,word,food_drinks,04.134 mayonnaise,mayonnaise,mayonnaise,mayonnaise
item_135,French (French),WS,WS,word,food_drinks,04.135 pop-corn,pop-corn,pop-corn,popcorn
item_136,French (French),WS,WS,word,food_drinks,04.136 esquimau,esquimau,popsicle,popsicle
item_137,French (French),WS,WS,word,food_drinks,04.137 pomme de terre,pomme de terre,potato,potato
item_138,French (French),WS,WS,word,food_drinks,04.138 chips,chips,chips,chips
item_139,French (French),WS,WS,word,food_drinks,04.139 bretzel,bretzel,pretzel,pretzel
item_140,French (French),WS,WS,word,food_drinks,04.140 flan,flan,flan,pudding
item_141,French (French),WS,WS,word,food_drinks,04.141 courge,courge,gourd,squash
item_142,French (French),WS,WS,word,food_drinks,04.142 raisins secs,raisins secs,raisin,raisin
item_143,French (French),WS,WS,word,food_drinks,04.143 sel,sel,salt,salt
item_144,French (French),WS,WS,word,food_drinks,04.144 sandwich,sandwich,sandwich,sandwich
item_145,French (French),WS,WS,word,food_drinks,04.145 sauce,sauce,sauce,sauce
item_146,French (French),WS,WS,word,food_drinks,04.146 limonade,limonade,lemonade,juice
item_147,French (French),WS,WS,word,food_drinks,04.147 fraise,fraise,strawberry,strawberry
item_148,French (French),WS,WS,word,food_drinks,04.148 vanille,vanille,vanilla,vanilla
item_149,French (French),WS,WS,word,clothing,05.149 perles,perles,beads,beads
item_150,French (French),WS,WS,word,clothing,05.150 collier,collier,necklace,necklace
item_151,French (French),WS,WS,word,clothing,05.151 bavoir,bavoir,bib,bib
item_152,French (French),WS,WS,word,clothing,05.152 pyjamas,pyjamas,pajamas,pajamas
item_153,French (French),WS,WS,word,clothing,05.153 bottes,bottes,boots,boots
item_154,French (French),WS,WS,word,clothing,05.154 pantalon,pantalon,pants,pants
item_155,French (French),WS,WS,word,clothing,05.155 boutons,boutons,button,button
item_156,French (French),WS,WS,word,clothing,05.156 chemise,chemise,shirt,shirt
item_157,French (French),WS,WS,word,clothing,05.157 manteau,manteau,coat,coat
item_158,French (French),WS,WS,word,clothing,05.158 chaussure,chaussure,shoe,shoe
item_159,French (French),WS,WS,word,clothing,05.159 couche,couche,diaper,diaper
item_160,French (French),WS,WS,word,clothing,05.160 body,body,bodysuit,
item_161,French (French),WS,WS,word,clothing,05.161 grenouillère,grenouillère,sleepsuit,
item_162,French (French),WS,WS,word,clothing,05.162 short,short,shorts,shorts
item_163,French (French),WS,WS,word,clothing,05.163 robe,robe,dress (object),dress (object)
item_164,French (French),WS,WS,word,clothing,05.164 chaussettes,chaussettes,sock,sock
item_165,French (French),WS,WS,word,clothing,05.165 chapeau,chapeau,hat,hat
item_166,French (French),WS,WS,word,clothing,05.166 sweat,sweat,sweater,sweater
item_167,French (French),WS,WS,word,clothing,05.167 veste,veste,jacket,jacket
item_168,French (French),WS,WS,word,clothing,05.168 tee-shirt,tee-shirt,t-shirt,t-shirt
item_169,French (French),WS,WS,word,clothing,05.169 jeans,jeans,jeans,jeans
item_170,French (French),WS,WS,word,clothing,05.170 salopette,salopette,overalls,overalls
item_171,French (French),WS,WS,word,clothing,05.171 chausson,chausson,slipper,slipper
item_172,French (French),WS,WS,word,clothing,05.172 pull,pull,sweater,sweater
item_173,French (French),WS,WS,word,clothing,05.173 ceinture,ceinture,belt,belt
item_174,French (French),WS,WS,word,clothing,05.174 gants,gants,gloves,glove
item_175,French (French),WS,WS,word,clothing,05.175 moufles,moufles,mittens,mitten
item_176,French (French),WS,WS,word,clothing,05.176 écharpe,écharpe,scarf,scarf
item_177,French (French),WS,WS,word,clothing,05.177 basket,basket,trainers,sneaker
item_178,French (French),WS,WS,word,clothing,05.178 combinaison de ski,combinaison de ski,ski suit,snowsuit
item_179,French (French),WS,WS,word,clothing,05.179 collants,collants,tights,tights
item_180,French (French),WS,WS,word,clothing,05.180 culotte,culotte,underpants,underpants
item_181,French (French),WS,WS,word,games_routines,06.181 bain,bain,bath,bath
item_182,French (French),WS,WS,word,games_routines,06.182 petit déjeuner,petit déjeuner,breakfast,breakfast
item_183,French (French),WS,WS,word,games_routines,06.183 au revoir,au revoir,bye,bye
item_184,French (French),WS,WS,word,games_routines,06.184 dîner,dîner,dinner,dinner
item_185,French (French),WS,WS,word,games_routines,06.185 ne fais pas,ne fais pas,don’t do,don't
item_186,French (French),WS,WS,word,games_routines,06.186 bonjour,bonjour,hi,hi
item_187,French (French),WS,WS,word,games_routines,06.187 salut,salut,hi,hi
item_188,French (French),WS,WS,word,games_routines,06.188 déjeuner,déjeuner,lunch,lunch
item_189,French (French),WS,WS,word,games_routines,06.189 sieste,sieste,nap,nap
item_190,French (French),WS,WS,word,games_routines,06.190 bonne nuit,bonne nuit,good night,good night
item_191,French (French),WS,WS,word,games_routines,06.191 non,non,no,no
item_192,French (French),WS,WS,word,games_routines,06.192 ainsi font font,ainsi font font,,
item_193,French (French),WS,WS,word,games_routines,06.193 coucou,coucou,peekaboo,peekaboo
item_194,French (French),WS,WS,word,games_routines,06.194 s'il te plaît,s'il te plaît,please,please
item_195,French (French),WS,WS,word,games_routines,06.195 chut,chut,shh,shh
item_196,French (French),WS,WS,word,games_routines,06.196 merci,merci,thank you,thank you
item_197,French (French),WS,WS,word,games_routines,06.197 oui,oui,yes,yes
item_198,French (French),WS,WS,word,games_routines,06.198 bravo,bravo,bravo,bravo
item_199,French (French),WS,WS,word,games_routines,06.199 faire les courses,faire les courses,go shopping,shopping
item_200,French (French),WS,WS,word,games_routines,06.200 goûter,goûter,taste,taste
item_201,French (French),WS,WS,word,games_routines,06.201 coup de fil,coup de fil,phone call,
item_202,French (French),WS,WS,word,games_routines,06.202 top là,top là,it's a deal,
item_203,French (French),WS,WS,word,games_routines,06.203 je vais t'attraper,je vais t'attraper,I will catch you,
item_204,French (French),WS,WS,word,games_routines,06.204 va sur le pot,va sur le pot,go potty,go potty
item_205,French (French),WS,WS,word,games_routines,06.205 tourne-toi,tourne-toi,turn around,
item_206,French (French),WS,WS,word,games_routines,06.206 ce petit cochon,ce petit cochon,this little piggy,this little piggy
item_207,French (French),WS,WS,word,body_parts,07.207 bras,bras,arm,arm
item_208,French (French),WS,WS,word,body_parts,07.208 nombril,nombril,belly button,belly button
item_209,French (French),WS,WS,word,body_parts,07.209 joue,joue,cheek,cheek
item_210,French (French),WS,WS,word,body_parts,07.210 oreille,oreille,ear,ear
item_211,French (French),WS,WS,word,body_parts,07.211 yeux,yeux,eye,eye
item_212,French (French),WS,WS,word,body_parts,07.212 figure,figure,face,face
item_213,French (French),WS,WS,word,body_parts,07.213 pied,pied,foot,foot
item_214,French (French),WS,WS,word,body_parts,07.214 doigt,doigt,finger,finger
item_215,French (French),WS,WS,word,body_parts,07.215 cheveux,cheveux,hair,hair
item_216,French (French),WS,WS,word,body_parts,07.216 main,main,hand,hand
item_217,French (French),WS,WS,word,body_parts,07.217 tête,tête,head,head
item_218,French (French),WS,WS,word,body_parts,07.218 genou,genou,knee,knee
item_219,French (French),WS,WS,word,body_parts,07.219 jambe,jambe,leg,leg
item_220,French (French),WS,WS,word,body_parts,07.220 bouche,bouche,mouth,mouth
item_221,French (French),WS,WS,word,body_parts,07.221 nez,nez,nose,nose
item_222,French (French),WS,WS,word,body_parts,07.222 aïe bobo,aïe bobo,owie,owie
item_223,French (French),WS,WS,word,body_parts,07.223 dent,dent,tooth,tooth
item_224,French (French),WS,WS,word,body_parts,07.224 doigt de pied,doigt de pied,toe,toe
item_225,French (French),WS,WS,word,body_parts,07.225 langue,langue,tongue,tongue
item_226,French (French),WS,WS,word,body_parts,07.226 ventre,ventre,tummy,tummy
item_227,French (French),WS,WS,word,body_parts,07.227 cheville,cheville,ankle,ankle
item_228,French (French),WS,WS,word,body_parts,07.228 fesses,fesses,butt,butt
item_229,French (French),WS,WS,word,body_parts,07.229 menton,menton,chin,chin
item_230,French (French),WS,WS,word,body_parts,07.230 lèvre,lèvre,lips,lip
item_231,French (French),WS,WS,word,body_parts,07.231 pénis,pénis,penis,penis
item_232,French (French),WS,WS,word,body_parts,07.232 coeur,coeur,heart,heart
item_233,French (French),WS,WS,word,body_parts,07.233 vagin,vagin,vagina,vagina
item_234,French (French),WS,WS,word,body_parts,07.234 pouce,pouce,thumb,thumb
item_235,French (French),WS,WS,word,places,08.235 plage,plage,beach,beach
item_236,French (French),WS,WS,word,places,08.236 camping,camping,camping,camping
item_237,French (French),WS,WS,word,places,08.237 église,église,church,church
item_238,French (French),WS,WS,word,places,08.238 cirque,cirque,circus,circus
item_239,French (French),WS,WS,word,places,08.239 campagne,campagne,country,country
item_240,French (French),WS,WS,word,places,08.240 centre-ville,centre-ville,downtown,downtown
item_241,French (French),WS,WS,word,places,08.241 ferme,ferme,farm,farm
item_242,French (French),WS,WS,word,places,08.242 station-service,station-service,gas station,gas station
item_243,French (French),WS,WS,word,places,08.243 maison,maison,house,house
item_244,French (French),WS,WS,word,places,08.244 cinéma,cinéma,cinema,movie
item_245,French (French),WS,WS,word,places,08.245 dehors,dehors,outside,outside
item_246,French (French),WS,WS,word,places,08.246 parc,parc,park,park
item_247,French (French),WS,WS,word,places,08.247 fête,fête,party,party
item_248,French (French),WS,WS,word,places,08.248 pique-nique,pique-nique,picnic,picnic
item_249,French (French),WS,WS,word,places,08.249 terrain de jeux,terrain de jeux,playground,playground
item_250,French (French),WS,WS,word,places,08.250 école,école,school,school
item_251,French (French),WS,WS,word,places,08.251 magasin,magasin,store,store
item_252,French (French),WS,WS,word,places,08.252 forêt,forêt,forest,forest
item_253,French (French),WS,WS,word,places,08.253 travail,travail,work (place),work (place)
item_254,French (French),WS,WS,word,places,08.254 cour,cour,yard,yard
item_255,French (French),WS,WS,word,places,08.255 zoo,zoo,zoo,zoo
item_256,French (French),WS,WS,word,places,08.256 garderie,garderie,nursery,nursery
item_257,French (French),WS,WS,word,places,08.257 fête,fête,party,party
item_258,French (French),WS,WS,word,furniture_rooms,09.258 salle de bain,salle de bain,bathroom,bathroom
item_259,French (French),WS,WS,word,furniture_rooms,09.259 baignoire,baignoire,bath,bath
item_260,French (French),WS,WS,word,furniture_rooms,09.260 lit,lit,bed,bed
item_261,French (French),WS,WS,word,furniture_rooms,09.261 chambre,chambre,bedroom,bedroom
item_262,French (French),WS,WS,word,furniture_rooms,09.262 chaise,chaise,chair,chair
item_263,French (French),WS,WS,word,furniture_rooms,09.263 canapé,canapé,couch,couch
item_264,French (French),WS,WS,word,furniture_rooms,09.264 berceau,berceau,cradle,cradle
item_265,French (French),WS,WS,word,furniture_rooms,09.265 porte,porte,door,door
item_266,French (French),WS,WS,word,furniture_rooms,09.266 tiroir,tiroir,drawer,drawer
item_267,French (French),WS,WS,word,furniture_rooms,09.267 garage,garage,garage,garage
item_268,French (French),WS,WS,word,furniture_rooms,09.268 chaise haute,chaise haute,high chair,high chair
item_269,French (French),WS,WS,word,furniture_rooms,09.269 cuisine,cuisine,kitchen,kitchen
item_270,French (French),WS,WS,word,furniture_rooms,09.270 salon,salon,living room,living room
item_271,French (French),WS,WS,word,furniture_rooms,09.271 four,four,oven,oven
item_272,French (French),WS,WS,word,furniture_rooms,09.272 parc,parc,park,park
item_273,French (French),WS,WS,word,furniture_rooms,09.273 pot,pot,jar,jar
item_274,French (French),WS,WS,word,furniture_rooms,09.274 frigo,frigo,refrigerator,refrigerator
item_275,French (French),WS,WS,word,furniture_rooms,09.275 fauteuil,fauteuil,armchair,armchair
item_276,French (French),WS,WS,word,furniture_rooms,09.276 lavabo,lavabo,sink,sink
item_277,French (French),WS,WS,word,furniture_rooms,09.277 escalier,escalier,stairs,stairs
item_278,French (French),WS,WS,word,furniture_rooms,09.278 cuisinière,cuisinière,cooker,
item_279,French (French),WS,WS,word,furniture_rooms,09.279 table,table,table,table
item_280,French (French),WS,WS,word,furniture_rooms,09.280 télé,télé,tv,TV
item_281,French (French),WS,WS,word,furniture_rooms,09.281 fenêtre,fenêtre,window,window
item_282,French (French),WS,WS,word,furniture_rooms,09.282 étendage,étendage,dryer,dryer
item_283,French (French),WS,WS,word,furniture_rooms,09.283 entrée,entrée,entrance,corridor
item_284,French (French),WS,WS,word,furniture_rooms,09.284 douche,douche,shower,shower
item_285,French (French),WS,WS,word,furniture_rooms,09.285 pièce,pièce,room,room
item_286,French (French),WS,WS,word,furniture_rooms,09.286 cave,cave,cellar,basement
item_287,French (French),WS,WS,word,furniture_rooms,09.287 banc,banc,bench,bench
item_288,French (French),WS,WS,word,locations,10.288 au sujet de,au sujet de,about,about
item_289,French (French),WS,WS,word,locations,10.289 au-dessus de,au-dessus de,above,above
item_290,French (French),WS,WS,word,locations,10.290 autour de,autour de,around,around
item_291,French (French),WS,WS,word,locations,10.291 à,à,at,at
item_292,French (French),WS,WS,word,locations,10.292 loin,loin,far,far
item_293,French (French),WS,WS,word,locations,10.293 derrière,derrière,behind,behind
item_294,French (French),WS,WS,word,locations,10.294 à côté de,à côté de,next to,next to
item_295,French (French),WS,WS,word,locations,10.295 chez,chez,In someone’s house,
item_296,French (French),WS,WS,word,locations,10.296 en bas,en bas,down,down
item_297,French (French),WS,WS,word,locations,10.297 pour,pour,in order to,for
item_298,French (French),WS,WS,word,locations,10.298 ici,ici,here,here
item_299,French (French),WS,WS,word,locations,10.299 à l'intérieur de,à l'intérieur de,inside,inside
item_300,French (French),WS,WS,word,locations,10.300 dans,dans,in,in
item_301,French (French),WS,WS,word,locations,10.301 près de,près de,near,near
item_302,French (French),WS,WS,word,locations,10.302 de,de,of,of
item_303,French (French),WS,WS,word,locations,10.303 au loin,au loin,far,far
item_304,French (French),WS,WS,word,locations,10.304 sur,sur,on,on
item_305,French (French),WS,WS,word,locations,10.305 au sommet,au sommet,on top of,
item_306,French (French),WS,WS,word,locations,10.306 de dehors,de dehors,outside,
item_307,French (French),WS,WS,word,locations,10.307 par-dessus,par-dessus,over,over
item_308,French (French),WS,WS,word,locations,10.308 là-bas,là-bas,there,there
item_309,French (French),WS,WS,word,locations,10.309 vers,vers,towards,towards
item_310,French (French),WS,WS,word,locations,10.310 sous,sous,under,under
item_311,French (French),WS,WS,word,locations,10.311 en haut,en haut,up,up
item_312,French (French),WS,WS,word,locations,10.312 avec,avec,with,with
item_313,French (French),WS,WS,word,locations,10.313 là,là,there,there
item_314,French (French),WS,WS,word,question_words,11.314 comment,comment,how,how
item_315,French (French),WS,WS,word,question_words,11.315 quoi,quoi,what,what
item_316,French (French),WS,WS,word,question_words,11.316 avec quoi,avec quoi,with whom,
item_317,French (French),WS,WS,word,question_words,11.317 quand,quand,when (question),when (question)
item_318,French (French),WS,WS,word,question_words,11.318 où,où,where (question),where (question)
item_319,French (French),WS,WS,word,question_words,11.319 qui,qui,who,who
item_320,French (French),WS,WS,word,question_words,11.320 avec qui,avec qui,with whom,
item_321,French (French),WS,WS,word,question_words,11.321 pourquoi,pourquoi,why,why
item_322,French (French),WS,WS,word,question_words,11.322 le/la/les,le/la/les,the,the
item_323,French (French),WS,WS,word,outside,12.323 rocher,rocher,rock (object),rock (object)
item_324,French (French),WS,WS,word,outside,12.324 nuage,nuage,cloud,cloud
item_325,French (French),WS,WS,word,outside,12.325 drapeau,drapeau,flag,flag
item_326,French (French),WS,WS,word,outside,12.326 fleur,fleur,flower,flower
item_327,French (French),WS,WS,word,outside,12.327 jardin,jardin,garden,garden
item_328,French (French),WS,WS,word,outside,12.328 herbe,herbe,grass,grass
item_329,French (French),WS,WS,word,outside,12.329 lune,lune,moon,moon
item_330,French (French),WS,WS,word,outside,12.330 tuyau,tuyau,pipe,hose
item_331,French (French),WS,WS,word,outside,12.331 échelle,échelle,ladder,ladder
item_332,French (French),WS,WS,word,outside,12.332 tondeuse à gazon,tondeuse à gazon,lawn mower,lawn mower
item_333,French (French),WS,WS,word,outside,12.333 piscine,piscine,pool,pool
item_334,French (French),WS,WS,word,outside,12.334 pluie,pluie,rain,rain
item_335,French (French),WS,WS,word,outside,12.335 caillou,caillou,stone,stone
item_336,French (French),WS,WS,word,outside,12.336 toit,toit,roof,roof
item_337,French (French),WS,WS,word,outside,12.337 pelle,pelle,shovel,shovel
item_338,French (French),WS,WS,word,outside,12.338 bac à sable,bac à sable,sandbox,sandbox
item_339,French (French),WS,WS,word,outside,12.339 toboggan,toboggan,slide (object),slide (object)
item_340,French (French),WS,WS,word,outside,12.340 neige,neige,snow,snow
item_341,French (French),WS,WS,word,outside,12.341 étoile,étoile,star,star
item_342,French (French),WS,WS,word,outside,12.342 trottoir,trottoir,sidewalk,sidewalk
item_343,French (French),WS,WS,word,outside,12.343 soleil,soleil,sun,sun
item_344,French (French),WS,WS,word,outside,12.344 balançoire,balançoire,swing (object),swing (object)
item_345,French (French),WS,WS,word,outside,12.345 arbre,arbre,tree,tree
item_346,French (French),WS,WS,word,outside,12.346 eau,eau,water (not beverage),water (not beverage)
item_347,French (French),WS,WS,word,outside,12.347 ciel,ciel,sky,sky
