study_id,form,study,binder,sex/gender,date filled,age_days,age_mos,completedby,respname,respno,reactmd,arehngry,aretired,becarefl,bequiet,claphand,cgdiaper,comehere,mdhome,wantmore,dontdo,dontouch,getup,givemom,givehug,givekiss,goget,goodgb,holdstil,gobyebye,lookhere,openmth,sitdown,spitout,stopit,gonight,throwbll,litpiggy,wantride,imitate,label,baabaa,choochoo,cockddld,grr,meow,moo,ouch,quackqck,uhoh,vroom,woofwoof,yumyum,animal,bear,bee,bird,bug,bunny,buttrfly,cat,chicken1,cow,deer,dog,donkey,duck,elephant,fish1,frog,giraffe,goose,horse,kitty,lamb,lion,monkey,mouse,owl,penguin,pig,pony,puppy,sheep,squirrel,teddyber,tiger,turkey,turtle,airplane,bicycle,bus,car,firetrck,motrcycl,stroller,train,truck,ball,balloon,block,book,bubbles,doll,pen,toy,apple,banana,bread,butter,cake,candy,carrots,cereal,cheerios,cheese,chicken2,coffee,cookie,cracker,drink1,egg,fish2,food,icecream,juice,meat,milk,noodles,orange1,peas,pizza,raisin,spaghett,toast,water1,beads,bib,boots,button,coat,diaper,dress,hat,jacket,jeans,necklace,pajamas,pants,shirt,shoe,shorts,sock,sweater,zipper,arm,bllybttn,cheek,ear,eye,face,foot,finger,hair,hand,head,knee,leg,mouth,nose,owie,tooth,toe,tongue,tummy,blanket,bottle,bowl,box,broom,brush,clock,comb,cup,dish,fork,glass,glasses,hammer,keys,lamp,light,medicine,money,paper,penny,picture,pillow,plant,plate,purse,radio,scissors,soap,spoon,telephone,toothbrush,towel,trash,vacuum,watch1,bathroom,bathtub,bed,bedroom,chair,couch,crib,door,drawer,garage,highchar,kitchen,livingrm,oven,playpen,potty,refrigerator,rockingchair,sink,stairs,stove,table,tv,window,backyard,beach,church,flower,garden,home,house,moon,outside,park,party,pool,rain,rock,school,shovel,sky,slide1,snow,star,store,sun,swing1,tree,water2,work1,zoo,aunt,baby,babysttr,babysittername,boy,brother,child,daddy,girl,grandma,grandpa,lady,man,mommy,childname,people,person,sister,teacher,uncle,bath,breakfst,bye,dinner,dont,hello,hi,lunch,nap,nghtnght,no,patycak,peekaboo,please,shh,thankyou,wait,wanna,yes,bite,blow,break,bring,bump,clean1,close,cry,dance,draw,drink2,drive,eat,fall,feed,finish,get,give,go,help,hit,hug,hurry,jump,kick,kiss,look,love,open,play,pull,push,put,read,ride,run,say,see,show,sing,sleep,smile,splash,stop,swim,swing2,take,throw,tickle,touch,watch2,walk,wash,wipe,write,day,later,morning,night,now,today,tomorrow,tonight,allgone,asleep,bad,big,blue,broken,careful,clean2,cold,cute,dark,dirty,dry2,empty,fast,fine,gentle,good,happy,hard,hot,hungry,hurt,little,naughty,nice,old,pretty,red,scared,sick,sleepy,soft,thirsty,tired,wet,yucky,her,his,i,it,me,mine,my,that,this,you,your,how,what,when,where,who,why,away,back,down,in,inside,off,on,out,there,underprep,upprep,allquant,another,more,none,notquant,other,same,some,armshow,reachout,points,waves,pickup,shakhead,nodhead,showhush,request,blowkiss,smacklip,shrugs,playpeek,patycak2,sobig,chase,dosing,dodance,eatspoon,drinkcup,combhair,bshteeth,wipeface,puthat,putshoe,putwatch,ptdsleep,blowhot,flyplane,ptndtele,snifflow,pushcar,throwges,ptndpour,ptndstir,putobed,cover,feedbotl,feedspon,brushit,burbit,pushit,rockit,kissit,dressit,wipeit,talkit,diaperit,sweep,putkey,pound,usesaw,type,ptndread,dovacuum,waterplt,playmus,ptnddriv,washdish,usecloth,usepen,dig,wearglas,playpretend,id,Comp_items,Comp_items_tot,Prod_items,subnum,Sex,border,numkids,Ethnicity,race,eth,momed,hollingshead,age,Comp,Compptile,Prod,Prodptile,Totgest,Totgestptile,Phrases,Phrasesptile
10012,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-04-14,511,16,NA,1,1,1,,,,,,,1,1,,1,,,1,,,,1,,,,,1,,,,,,,n,n,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,1,1,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,o,o,o,s,o,o,s,n,o,n,n,s,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,10012,26,29,3,10012,M,1,2,A,A,NA,17,.,16,29,0,3,12,35,28,6,5
10013,english_wg,totlot2,totlot2_15-17m_1.pdf,F,2005-04-19,494,16,NA,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,,,o,s,1,2,1,1,2,2,1,2,2,1,2,2,,,,2,,,,1,,1,,2,,2,,,,,,1,1,,,,,,,1,,1,,1,,,,,2,,1,1,1,,1,1,,2,2,,2,2,,,,1,2,1,,,,,1,1,1,,,1,2,1,1,,1,1,1,,2,,,,1,1,1,1,2,,,,,,1,,1,2,,,,1,,1,,,1,,,1,,1,1,,1,1,,1,1,,,1,1,1,,,,1,1,,1,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,1,1,,1,,,1,1,1,,1,,1,,,,1,1,,,,,,,,,,1,,1,,,,,,,,1,2,2,,,,,,,,1,,,,,1,1,,,1,,,,1,,,,2,,2,2,,,2,2,,,1,,,1,1,2,1,1,2,2,1,1,2,2,1,1,2,2,,,,1,1,1,,1,,,,,1,,1,,1,,,,1,1,1,1,,,,,1,1,,,,,,,,,,,1,,1,1,,,,1,,,,1,1,1,,,,,,,,,,,,,,2,,,,,,1,,1,,,1,,,,,1,,2,,1,1,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,2,,,,,,o,o,o,o,o,o,n,s,s,o,n,n,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,10013,112,150,38,10013,F,2,3,W,W,NA,18,.,16,151,29,39,45,34,18,23,50
10014,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-05-08,517,17,NA,1,1,1,,,1,1,1,,1,1,,1,,1,1,1,1,1,1,,1,1,,1,,1,1,1,,,s,o,1,2,,2,2,2,1,1,2,2,1,2,,,1,1,,1,1,2,,1,,2,,2,1,2,1,,1,2,2,,1,1,1,,,,,1,,2,1,1,,1,2,1,1,2,1,1,,2,2,2,2,,1,2,,,,1,2,,1,,,,,1,2,,,2,2,,,2,,,,,1,,,,,1,,,1,,1,,,,1,,,,,,1,1,1,2,,1,1,,1,1,,1,2,,1,1,1,,,,,,1,1,1,1,,1,1,,,1,,1,,1,1,,1,,,,1,,2,1,,1,,,,1,1,,,,1,1,1,1,1,1,,,,,1,,1,,,1,,,,1,,,,,,,1,,,1,1,1,,,,1,,1,,1,1,,,,1,1,,,1,1,,2,,,,1,1,,,,1,1,1,1,,,2,,1,1,,,2,2,,,,,,1,1,2,,,2,2,,1,1,1,1,1,,1,2,,,1,1,1,,1,,1,1,1,,,1,1,1,2,1,1,1,1,2,1,1,1,,,1,1,1,,1,1,1,,1,1,,,,,,1,,1,1,,,,,1,1,,,1,1,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,o,o,o,o,o,s,n,n,o,o,s,n,1,0,,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,10014,144,183,39,10014,M,1,1,H,NA,H,17,46,17,185,38,39,34,40,35,18,25
10015,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-04-21,500,16,NA,1,1,1,1,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,o,s,,,,,,,,,,,,,,2,,1,,,,1,,,,1,,1,1,,1,,,,,,1,1,,,,2,,,,,,,,,,,1,1,1,,1,,,1,2,,2,2,,1,,,2,1,,,,,,,2,,,,,1,1,,1,1,2,,2,2,,2,,,,,1,,,,,,1,,1,1,,,,1,1,2,,1,,1,,,,1,1,,1,1,1,1,1,,,1,1,,1,1,,,1,1,1,,1,1,1,,1,,1,1,,,1,,1,1,,1,,1,1,,,1,,,,1,1,1,,1,,1,1,1,1,1,1,,1,2,1,1,1,,,,,,1,,,,,,,1,1,,,,1,1,,1,2,1,,1,,,,1,,1,,,,,1,1,1,,,,2,,,,,,2,,1,1,,,2,1,,,,,,1,1,2,1,,2,2,1,1,2,2,,1,,,,,,1,1,1,,1,,1,1,,1,1,1,1,1,,,1,1,1,1,1,,1,,,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,,1,1,,,1,1,,,,,,,,,,,1,,,,,,,1,1,,,1,1,1,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,2,,2,2,,,,,,,,,,1,1,1,1,1,1,1,,1,1,,1,2,,,,,,o,o,o,o,o,n,n,n,o,n,s,n,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,10015,148,174,26,10015,M,1,.,W,W,NA,18,.,16,175,50,27,46,39,48,21,45
10016,english_wg,totlot2,totlot2_15-17m_1.pdf,F,2005-04-23,495,16,NA,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,,1,1,,1,,1,1,,,1,1,,,s,s,,,,,,2,,2,2,,1,1,,,,1,,,1,,,1,,1,,2,1,2,,,,,,,,,,,,,,2,,,,,,2,1,,,2,,,1,,,2,2,,2,2,,1,,1,2,,,,,,1,,,1,,2,,1,,,,,,,2,,,,,,,2,2,,1,,1,1,2,,2,1,,,1,1,1,2,,2,1,,,2,,2,1,,1,,2,1,1,,,1,2,1,1,,1,,,,1,1,,1,,1,1,,,,,,2,,1,1,,1,,,,,,1,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,2,1,,1,,,,,1,1,,,,,,2,,,,,2,,1,,1,2,1,,,,,,,,1,,1,,1,1,1,,,,,2,,2,,,,2,,,,,,2,2,,,,,,1,,2,,,,2,,1,1,2,,1,,2,1,,,2,,1,,,,1,1,1,1,,1,,1,,,,,1,2,1,,,,1,1,,1,1,1,1,,,,1,,,1,,1,1,1,1,1,,,1,,1,1,,,1,1,1,,,,,,,,,,1,,,,,,,1,1,1,,1,,1,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,2,,,,,,,,,,2,,2,,,2,,,1,,,,,,o,s,,,s,,s,o,o,s,s,n,1,,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,10016,105,152,47,10016,F,1,1,A,A,NA,16,53,16,155,31,49,55,38,25,17,20
10017,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-04-25,502,16,NA,1,1,1,1,1,1,,1,1,1,1,1,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,s,n,2,2,1,1,2,2,,1,2,2,2,2,2,,,1,,,,1,,1,,1,,1,,1,,,,,1,,,,,,,,,,,,1,,,,2,,,1,1,1,1,,,,,,1,,,,,1,2,1,,,,,1,,,,,1,1,1,,,1,,,,,1,,,,1,1,,1,,,,,,1,,1,,,,,,,1,,1,,,,1,,1,1,,,,1,,,,1,,1,1,1,,,1,1,,1,1,,1,1,,1,,,1,,1,,,,,,,,,,,1,1,,1,,1,1,1,1,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,1,1,1,,,1,,1,,1,1,,,1,,1,1,1,,,,1,,1,,,,1,1,1,1,,,2,1,,,1,,,1,1,1,1,,1,1,1,1,1,1,,1,1,,1,1,,1,,1,,1,,,1,,1,1,1,,1,,1,1,,1,,1,,1,,,1,1,1,1,1,1,,1,,1,1,,1,,1,,1,,,1,,,1,1,,1,,,1,1,,,,,,,,,,1,,,,,,1,,,,,1,,1,,,1,1,1,,,1,1,,,,,,,,,1,,1,1,,1,,,,1,1,1,1,1,1,1,,,,,1,1,,,,1,1,,1,1,1,1,,1,1,1,1,1,,,,,,,o,,o,o,o,n,o,o,n,o,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,,10017,161,173,12,10017,M,2,2,A,A,NA,16,62,16,173,49,12,25,47,78,23,55
10018,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-05-17,514,16,NA,1,1,1,1,,1,,,1,1,1,1,,,,1,1,,1,1,,,1,,,1,,1,1,1,,o,o,2,2,1,,2,2,,1,2,2,2,,2,2,,2,,,,1,1,1,,1,,2,1,1,,,2,1,1,,,,1,2,,1,1,1,1,1,2,1,,1,1,2,2,2,1,,1,1,2,2,2,,2,2,,1,,1,2,2,,,,1,,2,,,2,,,1,2,,1,,1,,1,1,1,,1,,1,,1,,,,2,,1,,1,1,,,1,1,,2,,1,,,1,1,1,2,2,,1,1,2,1,1,2,1,2,2,,2,2,1,1,,1,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,,2,1,1,1,1,,,2,,,1,1,,,,,,,,,,,,2,,,,,,1,2,2,1,,,,,,,,,1,,,,,,2,1,,,,1,,1,1,,,2,1,,,,,2,1,,,,,,2,1,1,,1,,2,1,,,2,,2,,1,1,,,2,1,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,1,1,1,,2,,,,,,o,o,o,n,o,n,n,n,n,s,s,n,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,10018,95,149,54,10018,M,1,1,W,W,NA,18,.,16,149,37,54,73,28,12,15,23
10019,english_wg,totlot2,totlot2_15-17m_1.pdf,F,2005-05-05,488,16,NA,1,1,1,,,,,,,1,1,,,,,1,,1,1,1,,,1,,,,,1,,,,o,o,,,,1,2,,,,2,,,,,,,,2,1,1,2,,,,2,,2,,2,2,,,2,,,,,,,,1,,,,,,,,,1,,,1,,,,,,2,2,,2,2,2,,,,,,,,,,2,,2,,,,1,,,,,,,,1,,,2,,,,2,2,2,2,,,,2,,2,,,,,,,2,,2,,,,,,,2,,,,,,2,,,1,1,,,,,1,2,2,,,,1,,,,,,,1,,1,,,,,,,,,1,,,,,,,1,2,,,,,,,,,1,,1,1,,,1,,,,,1,1,,,,,,,1,,,,2,,,,2,1,1,,,,,,,,1,,,,,,1,,,,,2,,,,,,2,,1,1,,,2,2,,,,,,2,,2,,,,2,,,2,2,,,2,2,2,,,2,,2,,,,,,,,,1,,2,,,2,,,,,,,,,,2,,1,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,2,,2,,2,,,,,,,,,,,1,,1,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,o,o,o,o,o,o,o,o,o,o,n,n,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,10019,38,94,56,10019,F,1,2,W,W,NA,18,64,16,94,14,56,59,44,50,8,7
10020,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-06-23,539,17,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,s,s,1,1,1,1,2,1,1,1,2,2,2,1,,1,1,1,,1,1,2,1,1,,2,,1,1,1,1,,,1,2,,1,1,1,1,,1,,2,,,1,,,,2,,2,2,2,1,1,2,2,2,2,1,1,2,,,1,1,2,2,,,,1,1,1,2,1,1,1,1,1,,,1,,2,,2,,,2,,,,1,2,,1,,,,1,,2,1,1,,1,1,1,1,,1,,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,,1,2,,2,,,,,,1,1,,1,,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,,1,1,,,1,1,,1,,1,,,,,,1,,,,,1,,1,1,1,,2,1,1,1,1,1,2,1,,,,,,1,1,2,1,,2,2,1,1,1,1,1,1,2,1,2,,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,,,,1,1,1,,1,1,,1,1,,1,,1,,1,,1,1,1,,,,,1,,,,,1,,,1,,,1,,,,,1,,1,,,1,,,,2,1,,,,,,2,,,,,1,,,,,,,1,,,2,,,,1,,,1,,1,,,,,2,1,,1,1,1,,1,2,1,,2,,,,,,o,o,o,o,o,o,s,n,s,o,o,o,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,10020,196,239,43,10020,M,1,1,W,W,NA,16,66,17,239,64,43,37,40,35,28,99
10021,english_wg,totlot2,totlot2_15-17m_1.pdf,F,2005-04-29,487,16,NA,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,o,s,2,1,1,1,2,2,1,2,1,,2,,,1,1,2,1,1,1,2,1,1,,2,,,,2,1,,1,1,1,,1,1,1,,,1,,1,1,1,1,1,,1,1,,,1,,,1,1,,2,2,1,2,2,,1,1,1,2,1,,,,,1,1,1,,,,1,2,1,,1,,1,,1,,,1,,,,,1,,,,1,1,1,,2,1,,,,1,,1,,1,,1,,1,,1,1,1,1,1,1,1,,,,1,1,1,1,,,,2,1,1,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,1,1,,1,,,1,1,,,,,1,,,,,1,1,,,,1,1,,1,,,1,1,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,1,,1,1,,,1,,,,,,1,2,,2,,1,,,,1,1,2,,2,2,,2,1,1,,1,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,1,1,1,,,,1,2,1,,,,,,,1,,,1,,1,,,1,,1,,1,1,,,,,,1,,1,1,1,,1,,,1,,,,,1,,1,2,2,,1,,1,,,,,,,1,1,,1,1,1,,,1,1,,1,1,,,,,o,o,s,o,,s,n,n,s,s,n,o,1,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,,10021,174,201,27,10021,F,1,2,W,W,NA,16,60,16,202,48,27,30,36,22,26,65
10022,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-06-06,548,18,NA,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,n,s,,,,1,,,1,1,1,2,1,,,,,,,1,1,,,,,1,,2,,1,1,1,,,1,,,,,1,,,,,,,1,1,,,2,1,,1,,,1,1,2,2,2,1,2,2,1,,1,,2,1,,,,,1,1,1,1,1,1,1,2,,,1,,1,1,2,,,,,1,,,1,,1,1,,,1,,2,1,,,1,1,1,1,,1,1,,,2,,1,1,,1,1,2,1,1,,,1,1,1,1,1,,1,2,2,1,1,2,2,,1,1,,1,,2,,1,1,1,1,,,,1,,1,,,,,1,2,2,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1,,1,2,,,1,1,2,,,,,2,2,1,1,,,2,,1,1,,1,2,,1,1,,,2,1,,,,,,1,1,1,1,1,2,2,1,1,,1,1,1,2,1,1,,1,2,1,1,,1,,1,2,,2,1,2,,2,1,,,,1,,1,1,1,,,,,,1,2,1,,1,1,1,1,,1,,1,2,1,,,1,,2,,2,1,1,1,1,,1,,,1,,,1,,,1,1,,1,1,,,1,1,,,,,1,,,,1,1,,,2,2,1,,,,,,,,,,,2,,,,1,1,,1,1,2,,1,,1,1,,2,,2,1,,,1,1,1,,,1,1,,1,1,1,2,2,2,2,2,,,o,o,o,o,o,s,s,n,o,o,s,o,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,10022,176,230,54,10022,M,1,2,W,W,NA,18,66,18,231,42,57,31,49,60,22,30
10023,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-06-17,523,17,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,s,s,2,2,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,2,,2,1,2,1,,1,1,2,1,1,1,1,1,,1,,,,1,1,,,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,,1,1,1,1,,1,,1,1,1,,1,,1,1,1,1,2,,1,2,1,1,1,,1,1,1,,1,1,,1,,1,1,1,,1,1,,,1,1,1,1,,1,,,1,1,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,1,,1,,1,,,1,1,,1,,,,,1,1,,,,,,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,,,1,1,1,,,1,1,1,1,,1,1,1,1,,,,1,1,,1,2,1,1,,,,,,1,1,1,,,,1,1,1,1,,,,1,1,1,,,,2,,,,,,2,1,,,,,,1,1,1,1,,2,1,1,1,1,2,1,1,,2,,,,1,,1,,,,,,1,1,1,1,1,,1,,,1,1,1,,1,1,,,1,1,1,,1,,,1,,1,,1,,1,,,,,1,1,1,1,,1,1,,,1,1,,,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,,1,,,1,,,,,,o,o,o,o,o,o,o,o,,s,s,s,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,10023,192,217,25,10023,M,2,3,W,W,NA,18,60,17,217,53,25,23,49,75,28,99
10024,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-06-17,519,17,NA,1,1,1,1,,1,,1,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,1,1,,1,o,o,,2,,2,2,2,2,2,2,2,2,2,,1,2,2,2,1,1,2,1,2,,2,,2,2,2,1,,,2,2,,2,2,,1,,,,2,2,2,1,2,,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,,,2,2,2,2,,,,1,1,2,2,1,,2,2,1,1,,2,,1,2,2,2,,2,,,,,2,,1,,,,1,,2,1,,,1,1,2,2,,2,,,1,,,2,2,2,1,1,2,1,1,,,2,1,,2,,1,1,2,2,1,2,,1,,1,1,,1,,1,,2,,2,,1,1,,1,,1,,,,,,1,1,1,1,1,,2,1,2,1,,1,,1,2,,,1,1,,,,,1,,,1,,1,2,1,,,,1,,1,1,1,,1,,1,,2,,,1,1,,2,,1,,2,2,,,1,2,,,1,,,2,1,1,2,,,2,1,,,,1,,2,1,2,1,1,1,2,1,1,1,1,,1,2,1,1,1,2,2,2,1,,1,1,,1,,1,,1,,2,,,,1,1,2,,1,2,,1,2,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,,1,1,,,,,1,,,,,,1,,,,1,,1,,2,,,,,1,,,1,1,2,,2,1,,,,,,,1,,,1,,,1,1,2,,,1,,,2,2,1,2,,,,1,,1,1,,,,1,1,1,1,1,1,,,2,,,1,,,,,,o,o,o,o,o,s,n,n,s,n,s,s,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,10024,136,235,99,10024,M,1,3,W,W,NA,18,.,17,236,63,101,84,30,9,19,28
10025,english_wg,totlot2,totlot2_15-17m_1.pdf,F,2005-04-30,477,15,NA,1,1,1,,,1,,1,,1,1,1,1,1,1,1,,,1,1,,1,1,,1,,1,1,1,,1,s,s,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,1,,2,,2,1,2,1,1,,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,,,,1,1,1,2,1,,1,2,2,,,1,1,1,,1,,1,1,1,2,,1,2,,1,,1,2,1,1,2,1,,,1,,1,2,,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,,1,,1,2,,,2,1,1,,,,1,,1,1,,1,,1,,1,,1,1,,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,,1,1,1,1,2,1,,1,,,,,2,1,1,1,1,2,1,1,1,2,,,1,1,2,1,,,1,,2,1,1,,1,1,2,,1,1,,,2,2,,,,,,1,1,,1,1,1,1,1,1,1,1,,2,2,2,2,1,1,,1,1,,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,1,,1,1,,1,,,2,1,1,1,1,1,1,1,1,,,,,,1,,,,2,,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,,,1,1,1,,1,,,1,1,,1,,1,1,1,1,1,,1,,,,1,,2,2,,,,1,,1,,,,,1,1,1,1,1,2,,1,1,,,2,,,,,1,,s,,,,n,s,s,s,n,,n,1,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,,1,1,0,0,1,1,0,0,1,1,1,0,10025,228,287,59,10025,F,2,2,W,W,NA,16,.,15,292,87,62,76,41,55,18,30
