study_id,form,study,binder_items,id_check,age_mos,sex,date filled,completedby,respname,respno,reactmd,arehngry,aretired,becarefl,bequiet,claphand,cgdiaper,comehere,mdhome,wantmore,dontdo,dontouch,getup,givemom,givehug,givekiss,goget,goodgb,holdstil,gobyebye,lookhere,openmth,sitdown,spitout,stopit,gonight,throwbll,litpiggy,wantride,imitate,label,baabaa,choochoo,cockddld,grr,meow,moo,ouch,quackqck,uhoh,vroom,woofwoof,yumyum,animal,bear,bee,bird,bug,bunny,buttrfly,cat,chicken1,cow,deer,dog,donkey,duck,elephant,fish1,frog,giraffe,goose,horse,kitty,lamb,lion,monkey,mouse,owl,penguin,pig,pony,puppy,sheep,squirrel,teddyber,tiger,turkey,turtle,airplane,bicycle,bus,car,firetrck,motrcycl,stroller,train,truck,ball,balloon,block,book,bubbles,doll,pen,toy,apple,banana,bread,butter,cake,candy,carrots,cereal,cheerios,cheese,chicken2,coffee,cookie,cracker,drink1,egg,fish2,food,icecream,juice,meat,milk,noodles,orange1,peas,pizza,raisin,spaghett,toast,water1,beads,bib,boots,button,coat,diaper,dress,hat,jacket,jeans,necklace,pajamas,pants,shirt,shoe,shorts,sock,sweater,zipper,arm,bllybttn,cheek,ear,eye,face,foot,finger,hair,hand,head,knee,leg,mouth,nose,owie,tooth,toe,tongue,tummy,blanket,bottle,bowl,box,broom,brush,clock,comb,cup,dish,fork,glass,glasses,hammer,keys,lamp,light,medicine,money,paper,penny,picture,pillow,plant,plate,purse,radio,scissors,soap,spoon,telephone,toothbrush,towel,trash,vacuum,watch1,bathroom,bathtub,bed,bedroom,chair,couch,crib,door,drawer,garage,highchar,kitchen,livingrm,oven,playpen,potty,refrigerator,rockingchair,sink,stairs,stove,table,tv,window,backyard,beach,church,flower,garden,home,house,moon,outside,park,party,pool,rain,rock,school,shovel,sky,slide1,snow,star,store,sun,swing1,tree,water2,work1,zoo,aunt,baby,babysttr,babysittername,boy,brother,child,daddy,girl,grandma,grandpa,lady,man,mommy,childname,people,person,sister,teacher,uncle,bath,breakfst,bye,dinner,dont,hello,hi,lunch,nap,nghtnght,no,patycak,peekaboo,please,shh,thankyou,wait,wanna,yes,bite,blow,break,bring,bump,clean1,close,cry,dance,draw,drink2,drive,eat,fall,feed,finish,get,give,go,help,hit,hug,hurry,jump,kick,kiss,look,love,open,play,pull,push,put,read,ride,run,say,see,show,sing,sleep,smile,splash,stop,swim,swing2,take,throw,tickle,touch,watch2,walk,wash,wipe,write,day,later,morning,night,now,today,tomorrow,tonight,allgone,asleep,bad,big,blue,broken,careful,clean2,cold,cute,dark,dirty,dry2,empty,fast,fine,gentle,good,happy,hard,hot,hungry,hurt,little,naughty,nice,old,pretty,red,scared,sick,sleepy,soft,thirsty,tired,wet,yucky,her,his,i,it,me,mine,my,that,this,you,your,how,what,when,where,who,why,away,back,down,in,inside,off,on,out,there,underprep,upprep,allquant,another,more,none,notquant,other,same,some,armshow,reachout,points,waves,pickup,shakhead,nodhead,showhush,request,blowkiss,smacklip,shrugs,playpeek,patycak2,sobig,chase,dosing,dodance,eatspoon,drinkcup,combhair,bshteeth,wipeface,puthat,putshoe,putwatch,ptdsleep,blowhot,flyplane,ptndtele,snifflow,pushcar,throwges,ptndpour,ptndstir,putobed,cover,feedbotl,feedspon,brushit,burbit,pushit,rockit,kissit,dressit,wipeit,talkit,diaperit,sweep,putkey,pound,usesaw,type,ptndread,dovacuum,waterplt,playmus,ptnddriv,washdish,usecloth,usepen,dig,wearglas,playpretend,id,comp_only_items,prod_items,comp_items,id,border,latino,ethnicity,white,momed,comp,compptiles,prod,prodptile
11200,english_wg,totlot3,totlot3_16m_1.pdf,11200,15,F,2012-10-03,Mother,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,,1,,1,1,1,,1,o,s,,1,1,,1,,2,1,2,,2,2,,,,2,,,,2,2,,,2,,1,,2,,,,,2,,,,,,,1,,,,,,,,,1,,,1,,,1,2,,2,,,1,2,,,1,2,1,1,,,1,,,,2,2,,2,1,,1,,2,,,,1,,,,,,,,2,,,,,1,1,1,1,,,,,,1,2,,,,,,1,,,1,,1,,1,,1,,,1,2,2,,,,1,1,2,,1,,,,,1,,1,,1,,1,,1,,,,,,,,,,,,,1,1,,,2,,,,2,1,,1,1,,1,,,1,1,,,,,1,,,,,1,,,1,,,1,,1,,,1,,,,,2,,,,1,,,,,1,,2,,,1,2,,,,1,,2,,1,1,,,2,1,,,1,,,2,1,2,1,1,1,2,1,1,2,2,,2,1,,2,,,1,1,1,,,,1,1,,1,1,1,,1,,,,1,,1,1,,,,2,,1,1,,,1,,,,1,,1,1,1,1,,1,1,1,1,,1,,1,,1,1,1,1,,,,,,1,,,,,1,,,,,,1,,,,,1,,1,,,,1,,,1,1,1,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,1,,,,1,1,,,,1,1,,1,1,1,1,1,1,,1,1,1,,,,,o,o,o,o,o,o,s,n,o,s,o,s,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,11200,125,38,163,11200,3,0,W,White,16,165,47,39,61
11327,english_wg,totlot3,totlot3_16m_1.pdf,11327,15,M,2012-11-25,Mother and Father,1,1,1,1,,1,,,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,,,,,,,n,s,,,,,,,,,,2,,,,,,1,,,,2,,,,2,,2,,,,,,,2,,,,,,,,,2,,,,,,,1,1,1,1,,,1,,1,2,1,,1,2,,1,1,2,,,,,,,1,,1,,,,1,1,,,2,,,,2,,,,,,,,1,,,,,,1,,1,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,1,,1,,1,,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,2,1,,,,,,2,,2,,1,,,,,,,,1,,,,,,1,,2,,1,,,1,,1,,1,,2,,,,1,1,,2,,1,,,,,,,1,,,,,1,,,,,1,,,,,1,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,,,,,,o,o,o,n,o,o,n,n,o,n,n,n,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,11327,61,20,81,11327,1,0,A/W,Non-White,17,81,21,20,57
11356,english_wg,totlot3,totlot3_16m_1.pdf,11356,15,F,2012-12-16,Mother,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,s,s,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,,2,2,2,1,2,,1,1,1,2,2,1,2,1,2,1,1,2,1,2,1,,1,2,1,1,2,1,1,1,1,2,2,1,1,2,,2,,1,1,1,1,2,,,,1,1,1,,,,1,,1,,1,,,,2,,,,,,,,1,,1,1,1,1,1,,1,1,,,,1,,1,,1,1,1,,1,,1,1,,1,,1,,,,,1,1,,1,,,1,1,2,,1,,,,1,1,,,,1,,1,,1,1,,,,1,,1,1,1,1,,,1,1,1,1,,,1,1,,1,,1,1,1,1,,,1,1,,,,,1,1,,1,,,1,1,1,,,1,1,1,1,2,1,,,2,1,1,,,1,,,2,,1,,2,2,,1,1,2,1,1,1,,,2,,2,1,,,2,1,,,,,,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,1,,1,1,2,,1,1,2,1,1,1,1,1,2,,,,1,1,1,1,1,1,,,,,,,1,,,,2,,,,1,,1,1,,1,,1,1,1,,,1,1,,,,1,,,,,,,1,,,1,1,1,1,,,1,1,1,,2,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,o,o,o,o,o,o,s,n,o,s,o,o,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,11356,187,54,241,11356,1,0,W,White,16,241,74,54,72
11417,english_wg,totlot3,totlot3_16m_1.pdf,11417,16,M,2013-01-14,Mother,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,,,,1,1,1,,1,n,n,,1,,,,2,,,1,2,,1,,1,,,,,,1,,,,1,,1,,1,,,,,1,,1,,,,,,,,,,,,,,1,,1,1,,,,1,1,1,1,,1,,,,,1,1,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,1,,,1,1,,,,,,1,1,1,1,1,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,o,o,o,s,o,n,n,s,s,n,n,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,11417,57,2,59,11417,2,0,A/W,Non-White,17,59,8,2,10
11611,english_wg,totlot3,totlot3_16m_1.pdf,11611,15,M,2012-11-04,Mother,1,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,,1,1,,1,1,,1,,,1,1,,,n,s,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,,,1,,1,1,,,,1,,1,,1,,,,1,,,1,1,,,1,1,,,1,,,1,,,,,,1,1,1,1,,1,,,,1,,,1,1,1,,,,,1,1,1,1,,,,,1,1,,1,1,1,1,,,1,,1,,,,1,,,,,,,,,,,,,,,1,1,,,1,,,1,,1,,1,1,,1,,,,1,,,,,,,,,,1,,,1,,,,,1,,,1,1,,,1,,1,,,1,,,,,1,1,1,,,,1,,,,,,2,,1,2,,,2,1,,,1,,,1,1,2,1,1,1,1,1,1,1,2,,1,2,,2,1,,2,,,,,1,1,,1,1,,1,1,1,,,,1,1,1,1,,1,,,1,1,1,,1,,,,,1,,1,1,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,1,1,,1,1,,,,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,,1,1,,,,,,1,,,o,o,o,o,o,o,o,n,o,n,o,s,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,11611,167,19,186,11611,2,0,W,White,14,186,68,19,55
11655,english_wg,totlot3,totlot3_16m_1.pdf,11655,16,M,2012-12-03,Mother,1,1,1,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,o,o,2,2,,,2,2,2,2,2,2,2,2,,1,,2,,2,,2,,1,,2,,2,2,2,1,,,2,2,,,,,,,1,,,1,,,,,1,2,1,1,2,2,1,1,1,2,2,2,1,2,2,,1,1,2,2,1,,2,1,1,,2,1,1,,2,2,2,1,2,1,1,2,,1,1,,,,,1,1,2,,,,2,,2,,2,1,,,,1,1,2,,2,,,,,,1,2,,,,,1,1,,,1,2,,1,,1,2,,1,1,,,1,,,1,,1,,2,,2,,2,,,,,,,,1,,,,2,,1,2,,,1,,1,,1,,1,,,,,,1,,,,,,,,,1,,1,2,2,1,,,2,,1,1,2,,2,,1,1,,1,,,2,,,,,,2,2,,,2,2,,,,2,,2,,2,1,,,2,1,,,,,1,2,1,2,2,,2,2,1,1,2,2,1,1,,1,2,,,1,1,1,,,,,,,1,2,2,,1,2,,,1,1,2,,1,1,,1,1,1,1,,2,,,,,1,1,1,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,1,,1,,,,,2,1,,,1,,,2,2,,,2,,,,,,o,o,o,o,s,o,n,n,o,s,o,n,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,11655,90,83,173,11655,3,0,W,White,18,173,49,83,87
11743,english_wg,totlot3,totlot3_16m_1.pdf,11743,16,M,2012-08-21,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,,1,1,,1,1,,1,1,,1,,,,s,o,,,,,1,1,,,2,,1,1,,,,1,,,,2,,1,,1,,,,1,,,,,2,,,,1,,,,,1,,,1,,,,1,,,,,,,1,1,2,2,,1,1,,,,1,1,,,,,,1,1,1,,,1,1,1,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,1,1,,,1,1,,,1,,,1,,1,,,,,,,1,1,,1,,1,,,,1,1,1,,1,,,,,,,,,1,,,,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,,1,,,,,1,,,,,,,,1,,,1,,,,,,o,o,o,s,o,n,n,n,n,n,s,n,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,11743,78,5,83,11743,2,0,W,White,18,83,13,5,14
11958,english_wg,totlot3,totlot3_16m_1.pdf,11958,17,F,2013-01-21,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,s,,2,2,,2,2,2,2,2,2,,2,1,1,2,2,2,,2,2,2,1,2,,2,,2,2,2,2,2,,2,2,2,2,2,2,,2,2,,,2,1,1,,,2,1,1,,2,,1,1,,,2,2,2,2,2,2,,1,2,2,1,,1,,2,,1,2,1,,2,2,1,,,2,,,,2,,1,1,,1,1,1,2,,2,2,,,2,1,2,1,,1,1,1,1,2,,2,,2,1,2,1,2,2,1,1,1,1,1,1,1,,1,1,,1,1,1,2,2,2,2,1,1,1,1,1,2,,1,,,,1,,,1,2,1,,1,2,,,1,,,2,,,1,2,1,1,,1,1,2,1,2,1,1,2,2,,1,1,,,,2,1,,,1,,2,1,1,,,,2,,1,,1,1,2,1,1,,,1,,,1,,,,1,,,,,1,,2,2,2,,,,2,,2,2,,,2,2,,,2,,,2,1,2,,,1,2,1,1,2,2,1,1,2,2,2,1,,2,1,1,,,,1,2,,1,1,1,,2,1,1,,,1,1,1,1,1,,1,1,1,1,,2,1,1,1,1,1,,,1,,,,1,1,1,1,1,1,,1,1,1,,1,,1,,,,,,,,,,2,1,,,2,,1,1,2,,,,,,1,,1,,,,2,1,,,,1,,,,,,1,1,1,1,,1,,,,,,2,,,,1,1,,,,1,,,,1,1,,1,2,2,2,,1,,,,2,,,,,,,,,,,,,,,,n,n,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,11958,134,105,239,11958,2,0,W,White,18,248,50,114,72
12095,english_wg,totlot3,totlot3_16m_1.pdf,12095,15,M,2013-07-02,Mother,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,s,n,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,,1,1,1,,1,,1,,1,1,,1,1,1,1,1,,1,,,1,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,1,1,1,,,,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,,1,,,,,1,1,,1,1,,,1,1,1,1,,1,,,1,1,,1,1,1,1,,1,1,1,,,1,1,1,,,1,1,1,1,1,1,,,,,1,1,,1,1,,1,,1,,1,1,,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,,1,1,1,1,1,1,,1,,1,1,1,1,,1,1,,1,1,1,1,,,,,,1,1,,,1,,,,1,,,1,,,2,1,2,2,,,2,1,,,1,,,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,,,1,1,,,1,1,,1,1,1,,,,o,o,o,o,o,o,n,s,o,s,s,s,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12095,274,12,286,12095,3,1,HI_PI,Non-White,18,285,93,12,40
12297,english_wg,totlot3,,12297,16,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12297,,,,12297,5,0,W,White,17,123,21,34,37
12316,english_wg,totlot3,totlot3_16m_1.pdf,12316,15,F,2013-07-26,,1,1,1,1,,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,o,s,1,1,,,1,2,2,1,2,,1,,1,1,,2,,2,2,1,,1,,2,,2,1,,,,,,1,1,1,1,,,,1,,1,1,,1,1,,,2,2,,2,,,2,2,2,,2,1,1,,2,,1,,,2,,,,,1,,2,,,,2,,,,,,,,2,,,,,,,2,2,2,2,,,,1,1,2,,,,,1,1,2,,2,,,,1,,1,2,,1,1,2,1,,1,1,1,2,2,2,2,1,1,1,1,1,1,,,,,1,,,,1,,2,,1,1,,,,,,,,,,,1,1,1,1,,,,2,1,1,1,,2,,,2,,,1,,,,,,1,,,1,,1,,,1,,,,,,,,2,,,,2,,,,,2,,,,,2,1,2,,,2,2,,,,,,2,,1,1,,,2,2,,,,,,2,,2,,,1,2,,1,1,2,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,2,,2,,,2,2,,,,2,,1,2,,,,,,o,o,o,o,o,n,n,n,s,n,n,n,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,12316,68,63,131,12316,1,0,W,White,18,132,34,64,77
12390,english_wg,totlot3,totlot3_16m_1.pdf,12390,16,M,2012-09-05,Mother,1,1,1,,,1,,1,,1,1,1,1,1,,1,1,1,1,1,,1,,,1,,1,,1,1,,s,n,,,,1,1,,,,1,1,1,1,,,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,1,,,,,1,,,,1,,,1,,1,1,,,1,,,1,1,1,1,,1,1,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,1,,1,,,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,1,,,,,,,1,1,,,,1,1,1,,1,,,,1,,,,1,,1,1,,,,,,,,,,,1,,,1,,,,1,,,1,1,,,,,1,1,,1,1,,,1,1,,,,,1,1,,1,,1,1,1,,,1,1,1,1,,,1,,,1,1,1,,1,,,,,1,1,,,,,,,1,,,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,,,1,,,,,,,,,o,o,o,s,o,o,n,n,o,s,n,n,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,12390,105,0,105,12390,1,0,W,White,18,105,21,0,0
12398,english_wg,totlot3,totlot3_16m_1.pdf,12398,16,F,2013-07-29,Mother,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,,1,1,1,1,1,,,o,s,,1,1,,2,1,2,1,2,,2,2,,,,,,,,2,2,1,,2,,1,,,,,,,2,,,,,,,,,1,,,,,,,,1,,1,,,1,1,,2,,1,2,,,,1,2,2,,,,,,2,1,2,,1,,2,,1,,1,,2,,2,,2,,,2,,,2,,,,,,1,,2,,,,1,,,2,,1,,,,1,,1,2,,1,1,,,1,,,2,2,,2,2,1,1,,,2,,,1,,1,1,,1,,1,,1,,,,,,,,,,,,,,,1,,1,,2,,,,1,1,,1,1,,,,,1,,,,,2,,,,,,2,,,1,,2,2,,1,,,2,1,,,,,,1,,1,,,,,1,,1,,,1,1,,,,2,,2,,1,1,,,2,2,,,,1,1,1,1,2,1,1,2,2,1,1,1,2,,2,2,2,2,,1,2,,,,1,,,1,,1,1,1,,1,,,,1,1,1,1,,1,,1,1,2,1,,1,,,1,,1,,1,1,,1,,1,,,1,,,,1,,,,1,,1,,,,,,,,,,2,1,2,,,,2,1,1,,,1,,,,,1,,,,2,1,,,,1,,,,,,1,,,1,,2,,,,,,,,2,1,,,,1,,1,,,,,2,,,1,1,2,,,2,,,2,,,,,,o,,o,o,o,s,n,s,s,s,s,n,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,12398,100,59,159,12398,2,0,W,White,16,159,32,59,60
12409,english_wg,totlot3,totlot3_16m_1.pdf,12409,16,F,2013-06-27,Mother,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,,,s,s,2,,,2,2,2,2,2,2,2,2,2,,1,2,2,1,1,1,2,1,1,,1,,1,1,2,1,1,,1,2,,1,1,,2,1,1,,1,1,,,1,,1,1,1,,2,,,1,,2,2,,1,2,2,,,1,2,2,2,,,,1,1,1,1,1,,,2,1,1,1,2,,,,2,,1,,,,1,,2,,1,,1,,2,,1,,,,1,1,1,2,,1,,,1,,1,1,1,,1,1,1,1,1,1,,1,1,2,1,1,1,1,,1,1,,,1,2,1,1,1,1,1,2,,1,1,,,,1,,1,,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1,,,1,,1,,,,1,,1,1,,1,1,,1,,1,,2,2,1,,1,1,1,,,1,1,,1,1,1,1,1,2,,,,2,,,,,,2,,1,2,,,2,1,,,,,,2,1,2,1,1,2,2,1,1,2,2,1,1,,1,1,1,1,2,1,1,,1,,1,1,,1,1,1,,1,,,1,1,1,1,1,1,1,,1,2,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,1,,,,,2,1,,,1,,1,1,1,,1,1,1,,,,1,1,1,1,1,1,1,,,1,,,1,1,,1,1,,1,1,,,,,1,1,1,,2,2,1,1,,2,,2,1,,1,1,1,1,1,1,1,2,1,1,1,,,2,1,1,,,1,o,o,o,o,s,s,n,s,s,s,o,s,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,12409,205,55,260,12409,1,0,W,White,16,260,69,55,58
12417,english_wg,totlot3,totlot3_16m_1.pdf,12417,17,M,2013-07-16,Mother,1,1,1,,,1,,1,,1,1,1,1,,1,1,1,1,,,,1,,,1,,1,,,,,n,n,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,1,,,1,1,1,1,,,,,1,,1,,1,,,1,,,,1,,,,1,,,,,,,,1,,1,,,,1,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,,,,,1,,1,,1,,,,1,,,,,,,,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,1,,,,,1,1,1,1,,,1,1,1,1,,1,1,,,,,,,,1,,,,,,1,1,1,,1,,,,,,,1,,1,1,,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,,,,1,,,1,,,,1,,1,1,,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,1,,,,1,,1,,1,,1,1,1,1,1,1,1,,1,1,1,1,,,,1,1,,,,,1,,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,,,,,1,,,,1,1,1,,1,1,1,1,,,,,1,,,,,,o,o,o,o,o,n,n,n,o,s,o,n,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,12417,148,2,150,12417,1,0,W,White,16,149,25,1,5
