field,column,group,type,
item_375,UNCLE,item,word,uncle
item_376,BATH,item,word,bath
item_377,BREAKFST,item,word,breakfast
item_378,BYE,item,word,bye
item_379,CALLNPHN,item,word,call
item_380,DINNER,item,word,dinner
item_381,GIVEMEFV,item,word,give_me_five
item_382,GONNAGTY,item,word,gonna_get_you
item_383,GOPOTTY,item,word,go_potty
item_384,HELLO,item,word,hello
item_385,HI,item,word,hi
item_386,LUNCH,item,word,lunch
item_387,NAP,item,word,nap
item_388,NGHTNGHT,item,word,nightnight
item_389,NO,item,word,no
item_390,PATTYCAK,item,word,pattycake
item_391,PEEKABOO,item,word,peekaboo
item_392,PLEASE,item,word,please
item_393,SHH,item,word,shh
item_394,SHOPPING,item,word,shopping
item_395,SNACK,item,word,snack
item_396,SOBIG,item,word,so_big
item_397,THANKYOU,item,word,thank_you
item_398,THSLTTLP,item,word,this_little_piggy
item_399,TURNARND,item,word,turn_around
item_400,YES,item,word,yes
item_401,BITE,item,word,bite
item_402,BLOW,item,word,blow
item_403,BREAK,item,word,break
item_404,BRING,item,word,bring
item_405,BUILD,item,word,build
item_406,BUMP,item,word,bump
item_407,BUY,item,word,buy
item_408,CARRY,item,word,carry
item_409,CATCH,item,word,catch
item_410,CHASE,item,word,chase
item_411,CLAP,item,word,clap
item_412,CLEAN1,item,word,clean.action
item_413,CLIMB,item,word,climb
item_414,CLOSE,item,word,close
item_415,COOK,item,word,cook
item_416,COVER,item,word,cover
item_417,CRY,item,word,cry
item_418,CUT,item,word,cut
item_419,DANCE,item,word,dance
item_420,DRAW,item,word,draw
item_421,DRINK2,item,word,drink.action
item_422,DRIVE,item,word,drive
item_423,DROP,item,word,drop
item_424,DRY1,item,word,dry.action
item_425,DUMP,item,word,dump
item_426,EAT,item,word,eat
item_427,FALL,item,word,fall
item_428,FEED,item,word,feed
item_429,FIND,item,word,find
item_430,FINISH,item,word,finish
item_431,FIT,item,word,fit
item_432,FIX,item,word,fix
item_433,GET,item,word,get
item_434,GIVE,item,word,give
item_435,GO,item,word,go
item_436,HATE,item,word,hate
item_437,HAVE,item,word,have
item_438,HEAR,item,word,hear
item_439,HELP,item,word,help
item_440,HIDE,item,word,hide
item_441,HIT,item,word,hit
item_442,HOLD,item,word,hold
item_443,HUG,item,word,hug
item_444,HURRY,item,word,hurry
item_445,JUMP,item,word,jump
item_446,KICK,item,word,kick
item_447,KISS,item,word,kiss
item_448,KNOCK,item,word,knock
item_449,LICK,item,word,lick
item_450,LIKE,item,word,like
item_451,LISTEN,item,word,listen
item_452,LOOK,item,word,look
item_453,LOVE,item,word,love
item_454,MAKE,item,word,make
item_455,OPEN,item,word,open
item_456,PAINT,item,word,paint
item_457,PICK,item,word,pick
item_458,PLAY,item,word,play
item_459,POUR,item,word,pour
item_460,PRETEND,item,word,pretend
item_461,PULL,item,word,pull
item_462,PUSH,item,word,push
item_463,PUT,item,word,put
item_464,READ,item,word,read
item_465,RIDE,item,word,ride
item_466,RIP,item,word,rip
item_467,RUN,item,word,run
item_468,SAY,item,word,say
item_469,SEE,item,word,see
item_470,SHAKE,item,word,shake
item_471,SHARE,item,word,share
item_472,SHOW,item,word,show
item_473,SING,item,word,sing
item_474,SIT,item,word,sit
item_475,SKATE,item,word,skate
item_476,SLEEP,item,word,sleep
item_477,SLIDE2,item,word,slide.action
item_478,SMILE,item,word,smile
item_479,SPILL,item,word,spill
item_480,SPLASH,item,word,splash
item_481,STAND,item,word,stand
item_482,STAY,item,word,stay
item_483,STOP,item,word,stop
item_484,SWEEP,item,word,sweep
item_485,SWIM,item,word,swim
item_486,SWING2,item,word,swing.action
item_487,TAKE,item,word,take
item_488,TALK,item,word,talk
item_489,TASTE,item,word,taste
item_490,TEAR,item,word,tear
item_491,THINK,item,word,think
item_492,THROW,item,word,throw
item_493,TICKLE,item,word,tickle
item_494,TOUCH,item,word,touch
item_495,WAIT,item,word,wait
item_496,WAKE,item,word,wake
item_497,WALK,item,word,walk
item_498,WASH,item,word,wash
item_499,WATCH2,item,word,watch.action
item_500,WIPE,item,word,wipe
item_501,WISH,item,word,wish
item_502,WORK2,item,word,work.action
item_503,WRITE,item,word,write
item_504,ALLGONE,item,word,allgone
item_505,ASLEEP,item,word,asleep
item_506,AWAKE,item,word,awake
item_507,BAD,item,word,bad
item_508,BETTER,item,word,better
item_509,BIG,item,word,big
item_510,BLACK,item,word,black
item_511,BLUE,item,word,blue
item_512,BROKEN,item,word,broken
item_513,BROWN,item,word,brown
item_514,CAREFUL,item,word,careful
item_515,CLEAN2,item,word,clean.description
item_516,COLD,item,word,cold
item_517,CUTE,item,word,cute
item_518,DARK,item,word,dark
item_519,DIRTY,item,word,dirty
item_520,DRY2,item,word,dry.description
item_521,EMPTY,item,word,empty
item_522,FAST,item,word,fast
item_523,FINE,item,word,fine
item_524,FIRST,item,word,first
item_525,FULL,item,word,full
item_526,GENTLE,item,word,gentle
item_527,GOOD,item,word,good
item_528,GREEN,item,word,green
item_529,HAPPY,item,word,happy
item_530,HARD,item,word,hard
item_531,HEAVY,item,word,heavy
item_532,HIGH,item,word,high
item_533,HOT,item,word,hot
item_534,HUNGRY,item,word,hungry
item_535,HURT,item,word,hurt
item_536,LAST,item,word,last
item_537,LITTLE,item,word,little
item_538,LONG,item,word,long
item_539,LOUD,item,word,loud
item_540,MAD,item,word,mad
item_541,NAUGHTY,item,word,naughty
item_542,NEW,item,word,new
item_543,NICE,item,word,nice
item_544,NOISY,item,word,noisy
item_545,OLD,item,word,old
item_546,ORANGE2,item,word,orange.description
item_547,POOR,item,word,poor
item_548,PRETTY,item,word,pretty
item_549,QUIET,item,word,quiet
item_550,RED,item,word,red
item_551,SAD,item,word,sad
item_552,SCARED,item,word,scared
item_553,SICK,item,word,sick
item_554,SLEEPY,item,word,sleepy
item_555,SLOW,item,word,slow
item_556,SOFT,item,word,soft
item_557,STICKY,item,word,sticky
item_558,STUCK,item,word,stuck
item_559,THIRSTY,item,word,thirsty
item_560,TINY,item,word,tiny
item_561,TIRED,item,word,tired
item_562,WET,item,word,wet
item_563,WHITE,item,word,white
item_564,WINDY,item,word,windy
item_565,YELLOW,item,word,yellow
item_566,YUCKY,item,word,yucky
item_567,AFTER,item,word,after
item_568,BEFORE,item,word,before
item_569,DAY,item,word,day
item_570,LATER,item,word,later
item_571,MORNING,item,word,morning
item_572,NIGHT,item,word,night
item_573,NOW,item,word,now
item_574,TIME,item,word,time
item_575,TODAY,item,word,today
item_576,TOMORROW,item,word,tomorrow
item_577,TONIGHT,item,word,tonight
item_578,YESTERDY,item,word,yesterday
item_579,HE,item,word,he
item_580,HER,item,word,her
item_581,HERS,item,word,hers
item_582,HIM,item,word,him
item_583,HIS,item,word,his
item_584,I,item,word,i
item_585,IT,item,word,it
item_586,ME,item,word,me
item_587,MINE,item,word,mine
item_588,MY,item,word,my
item_589,MYSELF,item,word,myself
item_590,OUR,item,word,our
item_591,SHE,item,word,she
item_592,THAT,item,word,that
item_593,THEIR,item,word,their
item_594,THEM,item,word,them
item_595,THESE,item,word,these
item_596,THEY,item,word,they
item_597,THIS,item,word,this
item_598,THOSE,item,word,those
item_599,US,item,word,us
item_600,WE,item,word,we
item_601,YOU,item,word,you
item_602,YOUR,item,word,your
item_603,YOURSELF,item,word,yourself
item_604,HOW,item,word,how
item_605,WHAT,item,word,what
item_606,WHEN,item,word,when
item_607,WHERE,item,word,where
item_608,WHICH,item,word,which
item_609,WHO,item,word,who
item_610,WHY,item,word,why
item_611,ABOUT,item,word,about
item_612,ABOVE,item,word,above
item_613,AROUND,item,word,around
item_614,AT,item,word,at
item_615,AWAY,item,word,away
item_616,BACK,item,word,back
item_617,BEHIND,item,word,behind
item_618,BESIDE,item,word,beside
item_619,BY,item,word,by
item_620,DOWN,item,word,down
item_621,FOR,item,word,for
item_622,HERE,item,word,here
item_623,INSIDE,item,word,inside
item_624,INTO,item,word,into
item_625,NEXTTO,item,word,next_to
item_626,OF,item,word,of
item_627,OFF,item,word,off
item_628,ON,item,word,on
item_629,ONTOPOF,item,word,on_top_of
item_630,OUT,item,word,out
item_631,OVER,item,word,over
item_632,THERE,item,word,there
item_633,TO,item,word,to
item_634,UNDER,item,word,under
item_635,UP,item,word,up
item_636,WITH,item,word,with
item_637,A,item,word,a
item_638,ALL,item,word,all
item_639,ALOT,item,word,a_lot
item_640,AN,item,word,an
item_641,ANOTHER,item,word,another
item_642,ANY,item,word,any
item_643,EACH,item,word,each
item_644,EVERY,item,word,every
item_645,MORE,item,word,more
item_646,MUCH,item,word,much
item_647,NONE,item,word,none
item_648,NOT,item,word,not
item_649,OTHER,item,word,other
item_650,SAME,item,word,same
item_651,SOME,item,word,some
item_652,THE,item,word,the
item_653,TOO,item,word,too
item_654,AM,item,word,am
item_655,ARE,item,word,are
item_656,BE,item,word,be
item_657,CAN2,item,word,can.auxiliary
item_658,COULD,item,word,could
item_659,DID,item,word,did
item_660,DO,item,word,do
item_661,DOES,item,word,does
item_662,DONT,item,word,dont
item_663,GONNA,item,word,gonna
item_664,GOTTA,item,word,gotta
item_665,HAFTA,item,word,hafta
item_666,IS,item,word,is
item_667,LEMME,item,word,lemme
item_668,NEED,item,word,need
item_669,TRY,item,word,try
item_670,WANNA,item,word,wanna
item_671,WAS,item,word,was
item_672,WERE,item,word,were
item_673,WILL,item,word,will
item_674,WOULD,item,word,would
item_675,AND,item,word,and
item_676,BECAUSE,item,word,because
item_677,BUT,item,word,but
item_678,IF,item,word,if
item_679,SO,item,word,so
item_680,THEN,item,word,then
item_681,USEPAST,item,how_use_words,usepast
item_682,USEFUT,item,how_use_words,usefuture
item_683,USEMISS,item,how_use_words,miss_produce
item_684,USECMPL,item,how_use_words,miss_comp
item_685,USEPOSS,item,how_use_words,usepossessive
item_686,SPLURAL,item,word_endings,splural
item_687,SPOSSESS,item,word_endings,spossess
item_688,ING,item,word_endings,ing
item_689,ED,item,word_endings,ed
item_690,CHILDREN,item,word_forms_nouns,children
item_691,FEET,item,word_forms_nouns,feet
item_692,MEN,item,word_forms_nouns,men
item_693,MICE,item,word_forms_nouns,mice
item_694,TEETH,item,word_forms_nouns,teeth
item_695,ATE,item,word_forms_verbs,ate
item_696,BLEW,item,word_forms_verbs,blew
item_697,BOUGHT,item,word_forms_verbs,bought
item_698,BROKE,item,word_forms_verbs,broke
item_699,CAME,item,word_forms_verbs,came
item_700,DRANK,item,word_forms_verbs,drank
item_701,DROVE,item,word_forms_verbs,drove
item_702,FELL,item,word_forms_verbs,fell
item_703,FLEW,item,word_forms_verbs,flew
item_704,GOT,item,word_forms_verbs,got
item_705,HAD,item,word_forms_verbs,had
item_706,HEARD,item,word_forms_verbs,heard
item_707,HELD,item,word_forms_verbs,held
item_708,LOST,item,word_forms_verbs,lost
item_709,MADE,item,word_forms_verbs,made
item_710,RAN,item,word_forms_verbs,ran
item_711,SAT,item,word_forms_verbs,sat
item_712,SAW,item,word_forms_verbs,saw
item_713,TOOK,item,word_forms_verbs,took
item_714,WENT,item,word_forms_verbs,went
item_715,BLOCKSES,item,word_endings_nouns,blockses
item_716,CHILDRNS,item,word_endings_nouns,childrns
item_717,CHILDS,item,word_endings_nouns,childs
item_718,FEETS,item,word_endings_nouns,feets
item_719,FOOTS,item,word_endings_nouns,foots
item_720,MANS,item,word_endings_nouns,mans
item_721,MENS,item,word_endings_nouns,mens
item_722,MICES,item,word_endings_nouns,mices
